"Related Search Terms","Términos de búsqueda relacionados"
"Add New Search Term","Añadir nuevo término de búsqueda"
"Enable Search Recommendations","Habilitar recomendaciones de búsqueda"
"When you enable this option your site may slow down.","Al habilitar esta opción puede ralentizar su sitio."
"Search Recommendations Count","Conteo de las recomendaciones de búsqueda"
"Show Results Count for Each Recommendation","Mostrar resultados para cada recomendación"
"Enable Search Suggestions","Habilitar sugerencias de búsqueda"
"Search Suggestions Count","Conteo de sugerencias de búsqueda"
"Show Results Count for Each Suggestion","Mostrar resultados para cada sugerencia"
"ID","ID"
"Search Query","Consulta de búsqueda"
"Store","Tienda"
"Results","Resultados"
"Uses","Usos"
"Synonym","Sinónimos"
"Redirect URL","URL de redirección"
"Suggested Term","Término sugerido"
"Yes","Sí"
"No","No 	"
"Action","Acción"
"Edit","Editar"
