"Banners","Banners"
"Add Banner","Añadir Banner"
"Save Banner","Guardar Banner"
"Delete Banner","Eliminar Banner"
"Save and Continue Edit","Guardar y continuar editando"
"New Banner","Nuevo Banner"
"Content","Contenido"
"Default Content","Contenido por defecto"
"No Default Content","No hay contenido por defecto"
"Banner Default Content for All Store Views","Contenido predeterminado del Banner para todas las vistas de tienda"
"Store View Specific Content","Contenido específico de las vistas de tienda"
"Use Default","Usar predeterminado"
"Related Promotions","Promociones relacionadas"
"ID","ID"
"Rule","Regla"
"Start Date","Fecha de inicio"
"End Date","Fecha de finalización"
"Status","Estado"
"Banner Properties","Propiedades del Banner"
"Banner Name","Nombre del banner"
"Active","Activo"
"Inactive","Inactivo"
"Applies To","Se aplica a"
"Any Banner Type","Cualquier Tipo de Banner"
"Specified Banner Types","Tipos de banners especificados"
"Specify Types","Especificar los tipos"
"Banner Information","Información del Banner"
"Banner","Banner"
"Banner Type","Tipo de banner"
"Visibility","Visibilidad"
"Delete","Borrar"
"Are you sure you want to delete these banners?","¿Está seguro que desea eliminar estos banners?"
"Related Banners","Banners Relacionados"
"Position","Posición"
"This rule no longer exists.","Esta regla ya no existe."
"This banner does not exist.","Este banner no existe."
"You deleted the banner.","Ha eliminado el banner."
"Something went wrong while deleting banner data. Please review the action log and try again.","Algo salió mal al eliminar los datos del banner. Por favor, revise el registro de errores y vuelva a intentarlo."
"We cannot find a banner to delete.","No podemos encontrar un banner para eliminar."
"This banner no longer exists.","Este banner ya no existe."
"Edit Banner","Editar Banner"
"Please select a banner(s).","Por favor seleccione un banner(s)."
"You deleted %1 record(s).","Se eliminaron %1 registro(s)."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","Algo salió mal, con la eliminación en masa de banners. Por favor, revise el registro de errores y vuelva a intentarlo."
"You saved the banner.","Se guardó el banner."
"We cannot save the banner.","No se puede guardar el banner."
"Please enter a name.","Por favor, introduzca un nombre."
"Please specify default content for at least one store view.","Por favor especificar el contenido predeterminado de al menos una vista de tienda."
"-- None --","-- Ninguno --"
"Error","Error"
"Related Cart Price Rules","Reglas relacionadas del precio de la cesta"
"Related Catalog Price Rules","Relacionados con las reglas de precio del catálogo"
"Manage Banners","Gestionar Banners"
"Banner Rotator","Rotador de banners"
"Displays Specified or Promotion Banners","Muestra Banners especificados o de promoción"
"Banners to Display","Banners para mostrar"
"Specified Banners","Banners especificados"
"Shopping Cart Promotions Related","Promociones relacionadas con el carro de compra"
"Catalog Promotions Related","Promociones relacionadas con el catálogo"
"Restrict by Banner Types","Restringir por tipos de banner"
"Rotation Mode","Modo rotación"
"Display all instead of rotating","Mostrar todo en lugar de rotar"
"One at the time, Random","Uno a la vez, al azar"
"One at the time, Series","Uno a la vez, serie"
"One at the time, Shuffle","Uno a la vez, barajadas"
"Specify Banners","Especificar banners"
"Banner Block Template","Plantilla de bloque de banner"
"Banner Inline Template","Plantilla en línea de banner"
