"Country","País"
"Allowed Credit Card Types","Tipos de tarjetas de crédito permitidos"
"Add Rule","Agregar regla"
"Braintree Settlement Report","Informe de solución de Braintree"
"Sorry, but something went wrong","Lo sentimos, pero algo salió mal"
"We can\'t initialize checkout.","No se puede iniciar el cobro."
"No authorization transaction to proceed capture.","Ninguna transacción de autorización para proceder a la captura."
"Braintree error response.","Respuesta de error de Braintree."
"Payment method nonce can\'t be retrieved.","La forma de pago nonce no puede ser recuperada."
"Wrong transaction status","Estado de transacción incorrecto"
"Authorize","Autorizar"
"Authorize and Capture","Autorizar y Capturar"
"--Please Select--","--Por favor, seleccione--"
"Please agree to all the terms and conditions before placing the order.","Por favor, acepta todos los términos y condiciones antes de realizar el pedido."
"Paypal account","Cuenta de PayPal"
"Coinbase account","Cuenta Coinbase"
"Europe bank account","Cuenta del banco europeo"
"Credit card","Tarjeta de crédito"
"Apple pay card","Tarjeta de pago de Apple"
"Android pay card","Tarjeta de pago Android"
"Authorization expired","Autorización caducada"
"Authorizing","Autorizando"
"Authorized","Autorizado"
"Gateway rejected","Puerta de enlace rechazada"
"Failed","Falló"
"Processor declined","Declinado por el procesador"
"Settled","Establecido"
"Settling","Estableciendo"
"Submitted for settlement","Enviado por establecimiento"
"Voided","Anuladas"
"Unrecognized","No reconocido"
"Settlement declined","Establecimiento declinado"
"Settlement pending","Establecimiento pendiente"
"Settlement confirmed","Establecimiento confirmado"
"Sale","Venta"
"Credit","Crédito"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Number","Número de tarjeta de crédito"
"Please, enter valid Credit Card Number","Por favor, indique un número de tarjeta de crédito válido"
"Expiration Date","Fecha de vencimiento"
"Please, enter valid Expiration Date","Por favor, indique la fecha de vencimiento válida"
"Card Verification Number","Número de verificación de tarjeta"
"Please, enter valid Card Verification Number","Por favor, indique el número de verificación de tarjeta válido"
"ending","finalizando"
"expires","expira"
"Credit Card Information","Información de tarjeta de crédito"
"What is this?","¿Qué es esto?"
"Save for later use.","Guardar para su uso posterior."
"Place Order","Realizar pedido"
"This payment is not available","Este pago no está disponible"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","Por favor, inténtelo de nuevo con otra forma de pago."
"Sorry, but something went wrong.","Lo sentimos, pero algo salió mal."
"BraintreeTwo","BraintreeTwo"
"&nbsp;","&nbsp;"
"Enable this Solution","Habilitar esta solución"
"Enable PayPal through Braintree","Activar PayPal a través de Braintree"
"Basic BraintreeTwo Settings","Configuración básica BraintreeTwo"
"Title","Título"
"Environment","Entorno"
"Payment Action","Acción de pago"
"Merchant ID","Identificación del comerciante"
"Public Key","Clave pública"
"Private Key","Clave privada"
"Advanced Braintree Settings","Configuración avanzada de Braintree"
"Merchant Account ID","ID de cuenta del comerciante"
"Advanced Fraud Protection","Protección avanzada de fraude"
"Kount Merchant ID","Kount ID del comerciante"
"Debug","Depurar"
"CVV Verification","Verificación CVV"
"Credit Card Types","Tipos de tarjeta de crédito"
"Sort Order","Orden de aparición"
"Country Specific Settings","Ajustes específicos del país"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Country Specific Credit Card Types","Tipos de tarjeta de crédito específicas del país"
"PayPal through Braintree","PayPal a través de Braintree"
"Override Merchant Name","Reemplazar el nombre comercial"
"Require Customer's Billing Address","Requiere la dirección de facturación del cliente"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Permitir que se modifique la dirección de envío introducida durante el pago en PayPal"
"Display on Shopping Cart","Mostrar en la cesta de compras"
"3D Secure Verification Settings","Configuración de verificación 3D segura"
"3D Secure Verification","Verificación 3D segura"
"Threshold Amount","Umbral de importe"
"Verify for Applicable Countries","Verificar para los países aplicables"
"Verify for Specific Countries","Verificar para países específicos"
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Aplicar filtros para obtener resultados. Sólo los 100 primeros registros se mostrarán en la cuadrícula, podrá descargar la versión completa del informe en formato .csv ."
"Select...","Seleccionar..."
"Status","Estado"
"Transaction Type","Tipo de transacción"
"PayPal Payment ID","ID de pago de PayPal"
"Transaction ID","Id de la transacción"
"Order ID","ID del pedido"
"Payment Type","Tipo de pago"
"Type","Tipo"
"Created At","Creado en"
"Amount","Importe"
"Settlement Code","Código de establecimiento"
"Settlement Response Text","Texto de respuesta de establecimiento"
"Refund Ids","Ids de reembolso"
"Settlement Batch ID","ID de lote de establecimiento"
"Currency","Moneda"
