"Percent Discount","Porcentaje de descuento"
"-- Select --","-- Seleccione --"
"Dynamic","Dinámico"
"Fixed","Fijo"
"Create New Option","Nueva opción"
"Bundle Items","Elementos en paquete"
"Add Products to Option","Añadir productos a la opción"
"Close","Cerrar"
"Delete Option","Eliminar opción"
"What are you looking for?","¿Qué están buscando?"
"ID","ID"
"Product","Producto"
"SKU","SKU"
"Price","Precio"
"Delete","Borrar"
"Use Default Value","Usar valor por defecto"
"There is no defined renderer for ""%1"" option type.","No hay renderizador definido para el tipo de opción ""%1""."
"Only implemented for bundle product","Implementado sólo para paquete de productos"
"Product with specified sku: ""%1"" is not a bundle product","El producto con la sku especificada: %1 no es un paquete de productos"
"Bundle product could not contain another composite product","Paquete de producto no puede contener otro producto compuesto"
"Id field of product link is required","Se requiere el campo Id del enlace del producto"
"Can not find product link with id ""%1""","No puede encontrar el enlace del producto con el id ""%1"""
"Could not save child: ""%1""","No se puede guardar subproducto: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Artículo con determinado sku: ""%1"" no contiene la opción: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Subproducto con el sku especificado: ""%1"" ya asignado al producto: ""%2"""
"Product with specified sku: %1 is not a bundle product","Artículo con determinado sku: %1 no es un artículo de paquete"
"Requested bundle option product doesn't exist","La opción solicitada del paquete de productos no existe"
"Requested option doesn't exist","La opción solicitada no existe"
"Cannot delete option with id %1","No se puede eliminar opción con id %1"
"Could not save option","No se pueden guardar opción"
"As Low as","Tan bajo como"
"Price Range","Rango de precios"
"Please specify product option(s).","Por favor, especifique las opciones del artículo."
"The options you selected are not available.","Las opciones seleccionadas no están disponibles."
"The required options you selected are not available.","Las opciones requeridas seleccionadas no están disponibles."
"Please select all required options.","Por favor seleccione todas las opciones requeridas."
"We can't add this item to your shopping cart right now.","No podemos añadir este artículo a su carrito de compras ahora mismo."
"N/A","N/D"
"Percent","Porcentaje"
"None","Ninguno"
"Quantity:","Cantidad:"
"Choose a selection...","Elija una selección..."
"Ship Bundle Items","Enviar artículos de paquete"
"Separately","Por separado"
"Together","Juntos"
"Option Title","Título de opciones"
"Store View Title","Título de vista de tienda"
"Input Type","Tipo de entrada"
"Required","Requerido"
"Position","Posición"
"There are no products in this option.","No existen productos en esta opción."
"New Option","Nueva opción"
"Default","Predeterminado"
"Name","Nombre 	"
"Price Type","Tipo de precio"
"Default Quantity","Cantidad predeterminada"
"User Defined","Personalizado"
"Ordered","Pedido"
"Invoiced","Facturado"
"Shipped","Enviado"
"Refunded","Reembolsado"
"Canceled","Cancelado"
"As low as","Tan bajo como"
"Regular Price","Precio habitual"
"From","Desde"
"To","Hasta"
"Buy %1 with %2 discount each","Compra %1 con %2 de descuento"
"Go back to product details","Volver a detalles del producto"
"Customize and Add to Cart","Personalizar y añadir a la Cesta"
"* Required Fields","* Campos obligatorios"
"Your Customization","Su personalización"
"Availability","Disponibilidad"
"In stock","Disponible"
"Out of stock","Agotado"
"Summary","Resumen"
"%1 x %2","%1 x %2"
"Availability:","Disponibilidad:"
"Quantity","Cantidad"
"Customize %1","Personalizar %1"
"No options of this product are available.","No hay opciones disponibles de este producto."
"Gift Message","Mensaje de regalo"
"From:","Desde:"
"To:","Hasta:"
"Message:","Mensaje:"
"Product Name","Nombre del producto"
"Subtotal","Subtotal"
"Discount Amount","Cantidad descontada"
"Row Total","Fila total"
"Qty Invoiced","Cantidad facturada"
"Qty Shipped","Cantidad enviada"
"Add Products to New Option","Añadir artículos a la nueva opción"
"Add Products to Option ""%1""","Añadir artículos a la opción ""%1"""
"Add Selected Products","Añadir productos seleccionados"
