"New Permission","Nuevo Permiso"
"You already have a permission with this scope.","You already have a permission with this scope."
"(Allow)","(Allow)"
"(Deny)","(Deny)"
"Category Permissions","Permisos de categoría"
"Browsing Category","Browsing Category"
"Display Product Prices","Mostrar precios de los productos"
"Add to Cart","Añadir al carrito"
"Yes, for Everyone","Sí, para todos"
"Yes, for Specified Customer Groups","Sí, para grupos de cliente especificados"
"No","No 	"
"No, Redirect to Landing Page","No, Redirect to Landing Page"
"Permission with the same scope","Permission with the same scope"
"You may need more permissions to access this category.","You may need more permissions to access this category."
"You may need more permissions to access this product.","You may need more permissions to access this product."
"You cannot add ""%1"" to the cart.","No puedes añadir ""%1"" a la cesta."
"Permissions do not depend on store views.","Permissions do not depend on store views."
"Website","Página web"
"Customer Group","Grupo del cliente"
"Action","Acción"
"-- Please Select --","--Seleccione--"
"All Websites","Todos sitios web"
"All Customer Groups","All Customer Groups"
"Allow","Permitir"
"Deny","Verweigern"
"Use parent","Use parent"
"Enable","Activado"
"
                        <strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.
                    ","
                        <strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.
                    "
"Allow Browsing Category","Allow Browsing Category"
"Customer Groups","Grupos de cliente"
"Allow Adding to Cart","Allow Adding to Cart"
"Landing Page","Landing Page"
"Disallow Catalog Search By","Disallow Catalog Search By"
"Catalog Category Permissions","Catalog Category Permissions"
"Indexed permissions for categories","Indexed permissions for categories"
"Catalog Product Permissions","Permisos del catálogo de productos"
"Indexed permissions for products","Permisos indexados para productos"
