"Catalog Price Rule","Regla de precio de catálogo"
"Add New Rule","Agregar regla"
"Apply Rules","Aplicar las reglas"
"Save and Apply","Guardar y aplicar"
"Save and Continue Edit","Guardar y continuar editar"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","Nueva regla"
"Rule Information","Información sobre la regla"
"Actions","Acciones"
"Pricing Structure Rules","Pricing Structure Rules"
"Apply","Confirmar"
"Apply as percentage of original","Apply as percentage of original"
"Apply as fixed amount","Apply as fixed amount"
"Adjust final price to this percentage","Adjust final price to this percentage"
"Adjust final price to discount value","Adjust final price to discount value"
"Discount Amount","Cantidad descontada"
"Subproduct discounts","Subproduct discounts"
"No","No 	"
"Yes","Sí"
"Discard subsequent rules","Discard subsequent rules"
"Conditions","Condiciones"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"General Information","Información general"
"Rule Name","Nombre de la regla"
"Description","Descripción"
"Status","Estato"
"Active","Activo"
"Inactive","Inactivo"
"Websites","Sitios web"
"Customer Groups","Grupos de cliente"
"From","From"
"To","a"
"Priority","Prioridad"
"ID","ID"
"Type","Tipo"
"Attribute Set","Conjunto de atributos"
"SKU","SKU"
"Product","Producto"
"Promotions","Promociones"
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog."
"We can't apply the rules.","No se puede aplicar las reglas."
"You deleted the rule.","Ha eliminado la regla."
"We can't delete this rule right now. Please review the log and try again.","No se puede eliminar esta regla ahora. Por favor, revise el registro y vuelva a intentarlo."
"We can't find a rule to delete.","No se puede encontrar una regla para eliminar."
"This rule no longer exists.","Esta regla ya no existe."
"New Catalog Price Rule","New Catalog Price Rule"
"Edit Rule","Editar regla"
"Catalog","Catálogo"
"Wrong rule specified.","Regla especificada incorrecta."
"You saved the rule.","Ha guardado la regla."
"Something went wrong while saving the rule data. Please review the error log.","Something went wrong while saving the rule data. Please review the error log."
"Promo","Werbeaktion"
"Could not rebuild index for empty products array","Could not rebuild index for empty products array"
"We can't rebuild the index for an undefined product.","No se puede reconstruir el índice para un artículo no definido."
"Percentage discount should be between 0 and 100.","Percentage discount should be between 0 and 100."
"Discount value should be 0 or greater.","El valor del descuento debe ser 0 o mayor."
"Unknown action.","Acción desconocida."
"Update the Product","Actualizar el artículo"
"Rule price","Precio de la regla"
"To Fixed Value","A valor fijo"
"To Percentage","A porcentaje"
"By Fixed value","Por valor fijo"
"By Percentage","Por porcentaje"
"Update product's %1 %2: %3","Actualización artículos %1 de %2: %3"
"Conditions Combination","Combinación de condiciones"
"Product Attribute","Atributos del artículo"
"Updated rules applied.","Ha aplicado las reglas actualizadas."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","You disabled %1 Catalog Price Rules based on ""%2"" attribute."
"Catalog Rule Product","Catalog Rule Product"
"Indexed rule/product association","Indexed rule/product association"
"Catalog Product Rule","Catalog Product Rule"
"Indexed product/rule association","Indexed product/rule association"
"Rule","Regla"
"Start","Inicio"
"End","Fin"
"Web Site","Sitio web"
