"Home","Página de inicio"
"Go to Home Page","Ir a la página de inicio"
"Catalog Advanced Search","Búsqueda avanzada de catálogo"
"All","Todo"
"Yes","Sí"
"No","No 	"
"Results","Resultados"
"Grid","Parrilla"
"List","Lista"
"Search Weight","Buscar peso"
"Relevance","Relevance"
"Search results for: '%1'","Resultados de búsqueda para: '%1'"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Please specify at least one search term.","Por favor, especifique al menos un término de búsqueda."
"%1 and greater","%1 and greater"
"up to %1","hasta %1"
"Category","Categoría"
"%1 and above","%1 y superior"
"%1 - %2","%1 - %2"
"Bucket do not exists","Bucket do not exists"
"Product","Producto"
"Search Settings","Ajustes de búsqueda"
"Search","Buscar"
"Advanced Search","Búsqueda Avanzada"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"We can't find any items matching these search criteria.","We can't find any items matching these search criteria."
"Modify your search","Modificar la búsqueda"
"name","nombre"
"Don't see what you're looking for?","¿No encuentra lo que busca?"
"Your search returned no results.","La búsqueda no ha devuelto ningún resultado."
"Popular Search Terms","Términos de búsqueda populares"
"Catalog Search","Catálogo de búsquedas"
"Minimal Query Length","Longitud mínima de búsqueda"
"Maximum Query Length","Longitud máxima de consulta"
"Rebuild Catalog product fulltext search index","Reconstruir catálogo Artículo todo el texto búsqueda índice"
