"Conditions Combination","Combinación de Condiciones"
"Product Attribute","Atributos del artículo"
"SKU","SKU"
"Please choose a condition to add.","Please choose a condition to add."
"Add to Cart","Añadir al carrito"
"In stock","Disponible"
"Out of stock","No está disponible"
"Add to Wish List","Add to Wish List"
"Add to Compare","Añadir para comparar"
"Catalog Products List","Catalog Products List"
"List of Products","List of Products"
"Title","Título"
"Display Page Control","Mostrar control de página"
"Number of Products per Page","Número de productos por página"
"Number of Products to Display","Número de artículos a mostrar"
"Template","Plantilla"
"Products Grid Template","Products Grid Template"
"Cache Lifetime (Seconds)","Ciclo de vida caché (segundos)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Conditions","Condiciones"
