"Shopping Cart","Carrito de compras"
"Invalid method: %1","Método inválido: %1"
"City","Cuidad"
"Country","País"
"State/Province","Estado/Provincia"
"Zip/Postal Code","Código Postal"
"My Cart (1 item)","Mi carrito (1 artículo)"
"My Cart (%1 items)","Mi carrito de compras (%1 artículos)"
"My Cart","Mi carrito de compras"
"Minimum order amount is %1","Cantidad de pedido mínima es de %1"
"Customer is already registered","Cliente ya está registrado"
"Your session has expired","Su sesión ha caducado"
"You added %1 to your shopping cart.","Añadiste %1 a tu cesta."
"We can't add this item to your shopping cart right now.","No podemos añadir este artículo a su carrito de compras ahora mismo."
"Out of stock","Agotado"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","No se puede configurar el artículo."
"You used coupon code ""%1"".","Se utiliza el código de cupón ""%1""."
"The coupon code ""%1"" is not valid.","El cupón ""%1"" no es válido."
"You canceled the coupon code.","Usted canceló el código del cupón."
"We cannot apply the coupon code.","No se puede aplicar el código de cupón."
"We can't remove the item.","No se puede eliminar el artículo."
"%1 was updated in your shopping cart.","%1 fueron actualizados en su carrito de la compra."
"We can't update the item right now.","No se puede actualizar el artículo ahora mismo."
"We can't update the shopping cart.","No podemos actualizar el carrito."
"One-page checkout is turned off.","Pago en una página está desactivado."
"Guest checkout is disabled.","Pago de invitado está deshabilitado."
"Checkout","Cobro"
"Page not found.","Página no encontrada."
"Please agree to all the terms and conditions before placing the order.","Por favor, acepta todos los términos y condiciones antes de realizar el pedido."
"Something went wrong while processing your order. Please try again later.","Algo salió mal durante el procesamiento de su pedido. Por favor, inténtalo más tarde."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface"
"We can't find the product.","No se puede encontrar el artículo."
"The product does not exist.","El artículo no existe."
"We don't have some of the products you want.","We don't have some of the products you want."
"We don't have as many of some products as you want.","We don't have as many of some products as you want."
"Quantity was recalculated from %1 to %2","Quantity was recalculated from %1 to %2"
"We adjusted product quantities to fit the required increments.","We adjusted product quantities to fit the required increments."
"This quote item does not exist.","This quote item does not exist."
"Display number of items in cart","Mostrar el número de artículos en el carrito"
"Display item quantities","Mostrar las cantidades de artículo"
"Shipping address is not set","Shipping address is not set"
"Unable to save address. Please, check input data.","Unable to save address. Please, check input data."
"Carrier with such method not found: %1, %2","Carrier with such method not found: %1, %2"
"Unable to save shipping information. Please, check input data.","Unable to save shipping information. Please, check input data."
"Cart contains virtual product(s) only. Shipping address is not applicable.","La cesta contiene únicamente producto(s) virtuales. La dirección de envío no es aplicable."
"Shipping method is not applicable for empty cart","Método de envío no es aplicable para la cesta vacía"
" item"," artículo"
" items"," artículos"
"Totals calculation is not applicable to empty cart","Cálculo total no es aplicable a un carrito vacío"
"Invalid data","Fecha inválida"
"The customer address is not valid.","The customer address is not valid."
"Invalid shipping method","Método de envío no válido"
"There are more than one shipping addresses.","There are more than one shipping addresses."
"Sorry, guest checkout is not available.","Sorry, guest checkout is not available."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"Load customer quote error","Fehler beim Laden des Kundenangebots"
"Error message!","¡Mensaje de error!"
"Error!","¡Fallo!"
"Wrong minimum amount.","Wrong minimum amount."
"Message","Mensaje"
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>"
"Apply Discount Code","Aplicar código de descuento"
"Enter discount code","Introducir código de descuento"
"Apply Discount","Aplicar descuento"
"Cancel Coupon","Cancelar el cupón"
"Shopping Cart Items","Artículos del carrito"
"Item","Articulo"
"Price","Precio"
"Qty","Cantidad"
"Subtotal","Subtotal"
"Continue Shopping","Continuar comprando"
"Clear Shopping Cart","Vaciar el Cesta"
"Update Shopping Cart","Actualizar la Cesta"
"Update Cart","Actualizar Carro"
"See price before order confirmation.","Consulte el precio antes de la confirmación del pedido."
"What's this?","¿Qué es esto?"
"Edit item parameters","Editar los parámetros del artículo"
"Edit","Editar"
"Remove item","Quitar artículo"
"You have no items in your shopping cart.","No tienes ningún artículo en la cesta."
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">here</a> to continue shopping."
"Estimate Tax","Calcular impuestos"
"Estimate Shipping and Tax","Estimación de envío e impuestos"
"Excl. Tax","Impuestos NO Incl."
"Loading...","Cargando..."
"Order #","Pedido nº "
"Proceed to Checkout","Pasar por caja"
"Product Name","Nombre del producto"
"Incl. Tax","Impuestos incl."
"Your order number is: %1.","Su número de pedido es: %1."
"Your order # is: <span>%1</span>.","Su nº de pedido es: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","We'll email you an order confirmation with details and tracking info."
"Payment Transaction Failed","Ha fallado la operación de pago"
"Reason","Razón: "
"Checkout Type","Tipo de pago"
"Customer:","Cliente:"
"Items","Artículos"
"Total:","Total:"
"Billing Address:","Dirección de facturación:"
"Shipping Address:","Direccion de envio:"
"Shipping Method:","Método de envío:"
"Payment Method:","Método de pago:"
"Date & Time:","Fecha y hora:"
"Checkout Options","Opciones para el proceso de pago"
"Enable Onepage Checkout","Habilitar proceso de pago en una sola página"
"Allow Guest Checkout","Permitir proceso de pago para visitantes"
"Require Customer To Be Logged In To Checkout","Kundenanmeldung für Bestellvorgang erforderlich"
"Quote Lifetime (days)","Gültigkeit der Preise im Warenkorb (in Tagen)"
"After Adding a Product Redirect to Shopping Cart","Nach Hinzufügen eines Artikels zum Warenkorb weiterleiten"
"My Cart Link","Link zu meinem Warenkorb"
"Display Cart Summary","Mostrar Resumen del Carro"
"Shopping Cart Sidebar","Barra lateral del carrito de compras"
"Display Shopping Cart Sidebar","Mostrar la barra lateral del carrito de compras"
"Maximum Display Recently Added Item(s)","Maximalanzeige kürzlich hinzugefügter Artikel"
