"Terms and Conditions","Términos y Condiciones"
"Add New Condition","Neue Bedingung"
"Save Condition","Bedingung speichern"
"Delete Condition","Bedingung löschen"
"Edit Terms and Conditions","Allgemeine Geschäftsbedingungen (AGB) bearbeiten"
"New Terms and Conditions","Neue allgemeine Geschäftsbedingungen"
"Terms and Conditions Information","Informatiuon zu den Allgemeinen Geschäftsbedingungen"
"Condition Name","Nombre de la condición"
"Status","Estatus"
"Enabled","Habilitado"
"Disabled","Deshabilitada"
"Show Content as","Zeige Inhalt als"
"Text","Texto"
"HTML","HTML"
"Applied","Applied"
"Store View","Vista de la tienda"
"Checkbox Text","Checkbox Text"
"Content","Contenido"
"Content Height (css)","Inhalthöhe (css)"
"Content Height","Inhalthöhe"
"ID","ID"
"Condition","Condición"
"Sales","Ventas"
"Checkout Conditions","Condiciones de pago"
"Checkout Terms and Conditions","Términos y condiciones de pago"
"This condition no longer exists.","Diese Bedingung existiert nicht mehr."
"You deleted the condition.","You deleted the condition."
"Something went wrong  while deleting this condition.","Something went wrong  while deleting this condition."
"Edit Condition","Bedingung bearbeiten"
"New Condition","Neue Bedingung"
"You saved the condition.","You saved the condition."
"Something went wrong while saving this condition.","Something went wrong while saving this condition."
"Automatically","Automatically"
"Manually","Manually"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Unable to save checkout agreement %1","Unable to save checkout agreement %1"
"Unable to remove checkout agreement %1","Unable to remove checkout agreement %1"
"Checkout agreement with specified ID ""%1"" not found.","Checkout agreement with specified ID ""%1"" not found."
"Enable Terms and Conditions","Allgemeine Geschäftsbedingungen aktivieren"
