"Static Blocks","Bloques Estáticos"
"Add New Block","Neuer Block"
"Save Block","Block speichern"
"Delete Block","Block löschen"
"Save and Continue Edit","Save and Continue Edit"
"Edit Block '%1'","Edit Block '%1'"
"New Block","Neuer Block"
"Block Information","Información de bloque"
"General Information","Información general"
"Block Title","Blocktitel"
"Identifier","Bezeichner"
"Store View","Vista de la tienda"
"Status","Estatus"
"Enabled","Habilitado"
"Disabled","Deshabilitada"
"Content","Contenido"
"ID","ID"
"Title","Título"
"Manage Pages","Seiten verwalten"
"Add New Page","Neue Seite"
"Save Page","Seite speichern"
"Delete Page","Seite löschen"
"Edit Page '%1'","Edit Page '%1'"
"New Page","Neue Seite"
"Content Heading","Seiten-Überschrift"
"Page Layout","Seitenlayout"
"Layout","Diseño"
"Layout Update XML","Layout Update XML"
"Custom Design","Diseño personalizado"
"Custom Design From","Eigene Gestaltung von"
"Custom Design To","Eigene Gestaltung bis"
"-- Please Select --","--Seleccione--"
"Custom Theme","Eigenes Theme"
"Custom Layout","Eigener Entwurf"
"Custom Layout Update XML","Eigener Entwurf Update XML"
"Design","Diseño"
"Page Information","Seiteninformation"
"Page Title","Seitentitel"
"URL Key","URL-Bezeichner"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Page Status","Seitenstatus"
"Meta Data","Metadaten"
"Keywords","Palabras clave"
"Meta Keywords","Meta-Schlüsselwörter"
"Description","Descripción"
"Meta Description","Meta-Beschreibung"
"Created","Creado"
"Modified","Modified"
"Action","Acción"
"Preview","Vista previa"
"Media Storage","Almacenamiento de medios"
"Create Folder...","Verzeichnis anlegen..."
"Delete Folder","Verzeichnis löschen"
"Delete File","Datei löschen"
"Insert File","Datei einfügen"
"New Folder Name:","Neuer Verzeichnisname:"
"Are you sure you want to delete this folder?","Are you sure you want to delete this folder?"
"Are you sure you want to delete this file?","Are you sure you want to delete this file?"
"Images (%1)","Images (%1)"
"Storage Root","Hauptverzeichnis des Speichers"
"Home","Página de inicio"
"Go to Home Page","Ir a la página de inicio"
"CMS","CMS"
"You deleted the block.","You deleted the block."
"We can't find a block to delete.","We can't find a block to delete."
"This block no longer exists.","Dieser Block existiert nicht mehr."
"Edit Block","Block bearbeiten"
"Blocks","Blocks"
"Please correct the data sent.","Por favor corrija los datos enviados."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You saved the block.","You saved the block."
"The page has been deleted.","Die Seite wurde gelöscht."
"We can't find a page to delete.","We can't find a page to delete."
"This page no longer exists.","Diese Seite existiert nicht mehr."
"Edit Page","Seite bearbeiten"
"Pages","Páginas"
"Something went wrong while saving the page.","Something went wrong while saving the page."
"A total of %1 record(s) have been disabled.","A total of %1 record(s) have been disabled."
"A total of %1 record(s) have been enabled.","A total of %1 record(s) have been enabled."
"To apply changes you should fill in hidden required ""%1"" field","To apply changes you should fill in hidden required ""%1"" field"
"You saved this page.","You saved this page."
"The directory %1 is not writable by server.","The directory %1 is not writable by server."
"Make sure that static block content does not reference the block itself.","Make sure that static block content does not reference the block itself."
"CMS Block with id ""%1"" does not exist.","CMS Block with id ""%1"" does not exist."
