"Add configurable attributes to the current Attribute Set (""%1"")","Añadir atributos configurables a la configuración de atributo actual (""%1"")"
"Add configurable attributes to the new Attribute Set based on current","Add configurable attributes to the new Attribute Set based on current"
"New attribute set name","New attribute set name"
"Add configurable attributes to the existing Attribute Set","Add configurable attributes to the existing Attribute Set"
"Choose existing Attribute Set","Choose existing Attribute Set"
"Configurations","Configuración"
"Attribute Values","Valores de atributo"
"Bulk Images &amp; Price","Imágenes de bulto y precio"
"Create New Attribute","Crear nuevo atributo"
"Select Attributes","Seleccionar atributos"
"Summary","Resumen"
"Choose an Option...","Elegir una opción..."
"This attribute is used in configurable products.","Este atributo se utiliza en artículos configurables."
"Product has been already attached","Product has been already attached"
"Product with specified sku: %1 is not a configurable product","Product with specified sku: %1 is not a configurable product"
"Requested option doesn't exist","La opción solicitada no existe"
"Requested option doesn't exist: %1","Requested option doesn't exist: %1"
"Cannot delete variations from product: %1","Cannot delete variations from product: %1"
"Cannot delete option with id: %1","No se puede eliminar opción con id %1"
"Option with id ""%1"" not found","Opción con id ""%1"" no encontrado"
"Could not update option with id ""%1""","Could not update option with id ""%1"""
"Product already has this option","Product already has this option"
"Something went wrong while saving option.","Something went wrong while saving option."
"Only implemented for configurable product: %1","Only implemented for configurable product: %1"
"Option attribute ID is not specified.","Option attribute ID is not specified."
"Option label is not specified.","Option label is not specified."
"Option values are not specified.","Option values are not specified."
"Value index is not specified for an option.","Value index is not specified for an option."
"The configurable product does not have any variation attribute.","The configurable product does not have any variation attribute."
"Product with id ""%1"" does not exist.","Product with id ""%1"" does not exist."
"Product with id ""%1"" does not contain required attribute ""%2"".","Product with id ""%1"" does not contain required attribute ""%2""."
"Products ""%1"" and %2 have the same set of attribute values.","Products ""%1"" and %2 have the same set of attribute values."
"You can't add the item to shopping cart.","No puedes añadir el artículo al carrito de la compra."
"You need to choose options for your item.","Tiene que elegir opciones para su ítem."
"Some product variations fields are not valid.","Some product variations fields are not valid."
"Configuration must have specified attributes","Configuration must have specified attributes"
"Configurable product ""%1"" do not have sub-products","Configurable product ""%1"" do not have sub-products"
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","This group contains attributes used in configurable products. Please move these attributes to another group and try again."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo se utiliza en artículos configurables. No es posible eliminarlo del conjunto de atributos."
"Associated Products","Artículos asociados"
"Step 2: Attribute Values","Step 2: Attribute Values"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU."
"Sort Variations","Sort Variations"
"Options","Options"
"Select All","Seleccionar Todo"
"Deselect All","Anular todas las selecciones"
"Remove Attribute","Remove Attribute"
"Save Option","Save Option"
"Remove Option","Remove Option"
"Create New Value","Create New Value"
"Step 3: Bulk Images, Price, and Quantity","Step 3: Bulk Images, Price, and Quantity"
"Based on your selections <span class=""new-products-count"" data-bind=""text:countVariations""></span>
        new products will be created. Use this step to customize images and price for your new products.","Based on your selections <span class=""new-products-count"" data-bind=""text:countVariations""></span>
        new products will be created. Use this step to customize images and price for your new products."
"Images","Imágenes"
"Apply single set of images to all SKUs","Apply single set of images to all SKUs"
"Apply unique images by attribute to each SKU","Apply unique images by attribute to each SKU"
"Skip image uploading at this time","Skip image uploading at this time"
"Browse Files...","Dateien durchsuchen ..."
"Browse to find or drag image here","Browse to find or drag image here"
"Remove image","Remove image"
"Edit role","Edit role"
"Hidden","Oculto"
"Alt Text","Alt Text"
"Role","Role"
"Hide from Product Page","Hide from Product Page"
"Select attribute","Select attribute"
"Select","Seleccionar"
"Price","Precio"
"Apply single price to all SKUs","Apply single price to all SKUs"
"Apply unique prices by attribute to each SKU","Apply unique prices by attribute to each SKU"
"Skip price at this time","Skip price at this time"
"Quantity","Cantidad"
"Apply single quantity to each SKUs","Apply single quantity to each SKUs"
"Apply unique quantity by attribute to each SKU","Apply unique quantity by attribute to each SKU"
"Skip quantity at this time","Skip quantity at this time"
"Step 1: Select Attributes","Step 1: Select Attributes"
"Selected Attributes:","Selected Attributes:"
"Step 4: Summary","Paso 4: Resumen"
"Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color).","Configurable products allow customers to choose options (Ex: shirt color).
            You need to create a simple product for each configuration (Ex: a product for each color)."
"Edit Configurations","Edit Configurations"
"Create Configurations","Create Configurations"
"Add Products Manually","Add Products Manually"
"Current Variations","Current Variations"
"Image","Imagen"
"Name","Nombre 	"
"SKU","SKU"
"Weight","Peso"
"Actions","Acciones"
"Upload Image","Upload Image"
"Upload image","Upload image"
"No Image","No Image"
"Choose a different Product","Choose a different Product"
"Remove Product","Remove Product"
"Create Product Configurations","Create Product Configurations"
"Choose Affected Attribute Set","Choose Affected Attribute Set"
"Confirm","Confirmar"
"Cancel","Cancelar"
"Incl. Tax","Impuestos incl."
"Select Associated Product","Select Associated Product"
"Done","Hecho"
"For better results, add attributes and attribute values to your products.","For better results, add attributes and attribute values to your products."
"An attribute has been removed. This attribute will no longer appear in your configurations.","An attribute has been removed. This attribute will no longer appear in your configurations."
"Select options for all attributes or remove unused attributes.","Select options for all attributes or remove unused attributes."
"Please, select attribute for the section ","Please, select attribute for the section "
"Please fill in the values for the section ","Please fill in the values for the section "
"Please, fill correct values","Please, fill correct values"
"Please, select image(s) for your attribute","Please, select image(s) for your attribute"
"Please choose image(s)","Please choose image(s)"
"We could not detect a size.","No hemos podido detectar un tamaño."
"We don't recognize or support this file extension type.","No reconocemos o soportamos este tipo de extensión de archivo."
"Please, select attribute(s)","Please, select attribute(s)"
"Generate Products","Generate Products"
"Configurable Product Image","Abbildung für konfigurierbaren Artikel"
"Select...","Select..."
"Status","Estatus"
"ID","ID"
"Thumbnail","Miniatura"
"Attribute Code","Código de atributo"
"Attribute Label","Etiqueta de atributo"
"Required","Requerido"
"System","Gestionar sistema"
"Visible","Visible"
"Scope","Alcance"
"Searchable","Buscable"
"Comparable","Comparable"
