"Page not found.","Pagina no encontrada."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Gracias por contactarnos con sus comentarios y preguntas. Pronto le responderemos."
"We can't process your request right now. Sorry, that's all we know.","No se puede procesar su solicitud ahora mismo. Lo sentimos, eso es todo lo que sabemos."
"* Required Fields","* Campos obligatorios"
"Write Us","Escríbenos"
"Jot us a note and we’ll get back to you as quickly as possible.","Tomamos nota y te responderemos lo antes posible."
"Name","Nombre 	"
"Email","Correo electrónico"
"Phone Number","Número de teléfono"
"What’s on your mind?","¿Qué está en su mente?"
"Submit","Enviar"
"Name: %name","Nombre: %name"
"Email: %email","Correo electrónico: %email"
"Phone Number: %telephone","Número de teléfono: %telephone"
"Comment: %comment","Comentario: %comment"
"Contacts","Contactos"
"Contact Us","Contacte con nosotros"
"Enable Contact Us","Habilitar contacte con nosotros"
"Email Options","Opciones de correo electrónico"
"Send Emails To","Enviar correos electrónicos a"
"Email Sender","Correo electrónico Remitente"
"Email Template","Correo electrónico Plantilla"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
