"Invalid domain name: %1","Nombre de dominio no válido: %1"
"Invalid cookie lifetime: %1","Invalid cookie lifetime: %1"
"Invalid cookie path","Invalid cookie path"
"We use cookies to make your experience better.","We use cookies to make your experience better."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Learn more</a>."
"Allow Cookies","Allow Cookies"
"Default Cookie Settings","Default Cookie Settings"
"Cookie Lifetime","Ciclo de vida de la cookie"
"Cookie Path","Ruta de las cookies"
"Cookie Domain","Dominio de la cookie"
"Use HTTP Only","Utilizar sólo HTTP"
"Cookie Restriction Mode","Modo restrictivo de la cookie"
