"We can't save the cron expression.","No podemos guardar la expresión cron."
"Daily","Diario"
"Weekly","Semanalmente"
"Monthly","Mensualmente"
"Invalid cron expression: %1","Invalid cron expression: %1"
"Invalid cron expression, expecting 'match/modulus': %1","Invalid cron expression, expecting 'match/modulus': %1"
"Invalid cron expression, expecting numeric modulus: %1","Invalid cron expression, expecting numeric modulus: %1"
"Invalid cron expression, expecting 'from-to' structure: %1","Invalid cron expression, expecting 'from-to' structure: %1"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron. (tareas programadas), todos los tiempos se expresan en minutos"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","En el caso de las direcciones URL correctas generadas durante ejecuciones de cron, asegúrese de configurar expresamente Web > Direcciones URL básicas seguras y no seguras."
"Cron configuration options for group: ","Cron configuration options for group: "
"Generate Schedules Every","Generar programas cada"
"Schedule Ahead for","Programar con anticipación"
"Missed if Not Run Within","Falla si no se ejecuta dentro de"
"History Cleanup Every","Borrar el historial cada"
"Success History Lifetime","Período de validez del historial de ejecuciones correctas"
"Failure History Lifetime","Período de validez del historial de errores"
"Use Separate Process","Use Separate Process"
