"Save Currency Rates","Guardar los Tipos de Cambio"
"Reset","Restablecer"
"Import","Importar"
"Manage Currency Rates","Gestión de tipos de cambio"
"Import Service","Importdienst"
"Save Currency Symbols","Guardar símbolos de divisas"
"Currency Symbols","Currency Symbols"
"Use Standard","Usa predeterminado"
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"Click ""Save"" to apply the rates we found.","Click ""Save"" to apply the rates we found."
"Currency Rates","Currency Rates"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"All valid rates have been saved.","Alle gültigen Kurse wurden gespeichert."
"System","Gestionar sistema"
"You applied the custom currency symbols.","You applied the custom currency symbols."
"Old rate:","Alter Kurs:"
