"Sign Out","Salir"
"Sign In","Iniciar sesión"
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
"You have not set a default shipping address.","No ha establecido una dirección de envío predeterminada."
"You have not set a default billing address.","No ha establecido una dirección de facturación predeterminada."
"Address Book","Libreta de direcciones"
"Edit Address","Editar dirección"
"Add New Address","Agregar nueva dirección"
"region","región"
"Create Order","Crear pedido"
"Save Customer","Guardar cliente"
"Delete Customer","Eliminar cliente"
"Reset Password","Restablecer contraseña"
"Are you sure you want to revoke the customer's tokens?","¿Está seguro que desea revocar el token del cliente?"
"Force Sign-In","Forzar inicio de sesión"
"New Customer","Nuevo cliente"
"Save and Continue Edit","Guardar y continuar editar"
"Back","Volver"
"Please select","Por favor, seleccione"
"Reset","Restablecer"
"ID","ID"
"Product","Producto"
"SKU","SKU"
"Quantity","Cantidad"
"Price","Precio"
"Total","Total"
"Action","Acción"
"Configure","Configurar"
"Delete","Borrar"
"Shopping Cart from %1","Carrito de la compra de %1"
"Newsletter","Boletín de noticias"
"Newsletter Information","Boletín Información"
"Subscribed to Newsletter","Suscrito al boletín de noticias"
"Last Date Subscribed","Última fecha de suscripción"
"Last Date Unsubscribed","Última fecha de abandonar suscripción"
"No Newsletter Found","No boletín encontrado"
"Start date","Fecha de inicio"
"End Date","Fecha de fin"
"Receive Date","Receive Date"
"Subject","Asunto"
"Status","Estatus"
"Sent","Enviado"
"Cancel","Cancelar"
"Not Sent","No enviado"
"Sending","Enviando"
"Paused","Pausado"
"View","Vista"
"Unknown","Desconocido"
"Order","Pedido"
"Purchased","Comprada"
"Bill-to Name","Nombre de facturación"
"Ship-to Name","Nombre de envío"
"Order Total","Total del Pedido"
"Purchase Point","Punto de compra"
"Customer View","Vista cliente"
"There are no items in customer's shopping cart.","No hay artículos en la cesta de la compra del cliente."
"Qty","Cantidad"
"Confirmed","Confirmado"
"Confirmation Required","Confirmación necesaria"
"Confirmation Not Required","Confirmación no necesaria"
"Indeterminate","Indeterminado"
"The customer does not have default billing address.","El cliente no tiene una dirección de facturación predeterminada."
"Offline","Fuera de línea"
"Online","En línea"
"Never","Nunca"
"Deleted Stores","Tiendas eliminadas"
"Add Locale","Agregar configuración regional"
"Add Date","Añadir fecha"
"Days in Wish List","Días en favoritos"
"No","No 	"
"Yes","Sí"
"Delete File","Eliminar archivo"
"Download","Descarga"
"Delete Image","Eliminar imagen"
"View Full Size","Originalgröße ansehen"
"All countries","Todos los países"
"Customer Groups","Grupos de cliente"
"Add New Customer Group","Nuevo grupo de clientes"
"Save Customer Group","Guardar grupo de clientes"
"Delete Customer Group","Borrar grupo de clientes"
"New Customer Group","Nuevo grupo de clientes"
"Edit Customer Group ""%1""","Editar grupo del cliente ""%1"""
"Group Information","Información del grupo"
"Group Name","Nombre del grupo"
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Tax Class","Clase impositiva"
"The customer is now assigned to Customer Group %s.","The customer is now assigned to Customer Group %s."
"Would you like to change the Customer Group for this order?","¿Desea cambiar el grupo de clientes para este pedido?"
"The VAT ID is valid.","El ID de IVA es válido."
"The VAT ID entered (%s) is not a valid VAT ID.","El ID de IVA introducido (%s) no es un ID de IVA válido."
"The VAT ID is valid. The current Customer Group will be used.","El ID de IVA es válido. Se utilizará el grupo de cliente actual."
"The VAT ID is valid but no Customer Group is assigned for it.","The VAT ID is valid but no Customer Group is assigned for it."
