"Segments","Segmentos"
"Add Segment","Add Segment"
"Refresh Segment Data","Refresh Segment Data"
"Save and Continue Edit","Save and Continue Edit"
"Edit Segment '%1'","Edit Segment '%1'"
"New Segment","New Segment"
"Segment Information","Segment Information"
"Conditions","Condiciones"
"* applicable to visitors and registered customers","* applicable to visitors and registered customers"
"General Properties","General Properties"
"Segment Name","Segment Name"
"Description","Descripción"
"Assigned to Website","Assigned to Website"
"Status","Estatus"
"Active","Activo"
"Inactive","Inactivo"
"Apply To","Aplicar a"
"Visitors and Registered Customers","Visitantes y clientes registrados"
"Registered Customers","Clientes registrados"
"Visitors","Visitors"
"Please save this information to specify segmentation conditions.","Please save this information to specify segmentation conditions."
"Matched Customers (%1)","Matched Customers (%1)"
"ID","ID"
"Segment","Segment"
"Website","Página web"
"Customer Segment Report","Customer Segment Report"
"Customer Segment Report '%1'","Customer Segment Report '%1'"
"Customer Segments Report","Customer Segments Report"
"Back","Volver"
"From","Desde"
"To","Hasta"
"Please request the correct customer segment.","Please request the correct customer segment."
"You deleted the segment.","You deleted the segment."
"We're unable to delete the segement.","We're unable to delete the segement."
"Customer Segments","Customer Segments"
"Edit Segment","Edit Segment"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We can't save the segment right now.","We can't save the segment right now."
"Reports","Informes"
"Customers","Clientes"
"Viewing combined ""%1"" report from segments: %2.","Viewing combined ""%1"" report from segments: %2."
"Details","Detalles"
"The Customer Segment data has been refreshed.","The Customer Segment data has been refreshed."
"Union","Union"
"Intersection","Intersection"
"All","Todo"
"Specified","Especificado"
"Applies to All of the Specified Customer Segments","Applies to All of the Specified Customer Segments"
"Apply to the Selected Customer Segments","Apply to the Selected Customer Segments"
"contains","contiene"
"does not contains","no contiene"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Unknown operator specified.","Unknown operator specified."
"Conditions Combination","Combinación de condiciones"
"Customer Address","Kundenadresse"
"Product List","Product List"
"Product History","Product History"
"Products","Productos"
"Wrong ""ApplyTo"" type","Wrong ""ApplyTo"" type"
"Customer","Cliente"
"If Customer Addresses match %1 of these Conditions:","If Customer Addresses match %1 of these Conditions:"
"Address Attributes","Address Attributes"
"Customer Address %1","Customer Address %1"
"Default Address","Default Address"
"Billing","Facturación"
"Shipping","Envío"
"Customer Address %1 Default %2 Address","Customer Address %1 Default %2 Address"
"Has State/Province","Has State/Province"
"If Customer Address %1 State/Province specified","If Customer Address %1 State/Province specified"
"has","has"
"does not have","does not have"
"exists","exists"
"does not exist","does not exist"
"Customer %1","Customer %1"
"Newsletter Subscription","Suscripción al boletín informativo"
"Customer is %1 to newsletter.","Customer is %1 to newsletter."
"subscribed","subscribed"
"not subscribed","not subscribed"
"Store Credit","Crédito de tienda"
"Customer Store Credit Amount %1 %2:","Customer Store Credit Amount %1 %2:"
"Date Range","Date Range"
"Open Chooser","Abrir el buscador"
"Date Range %1 within %2","Date Range %1 within %2"
"If Order Addresses match %1 of these Conditions:","If Order Addresses match %1 of these Conditions:"
"Order Address Attributes","Order Address Attributes"
"Order Address %1","Order Address %1"
"Address Type","Adressentyp"
"Order Address %1 a %2 Address","Order Address %1 a %2 Address"
"Order Status","Estado de pedido"
"Any","Cualquiera"
"Order Status %1 %2:","Order Status %1 %2:"
"Product Attributes","Atributos del artículo"
"Product %1","Product %1"
"Date Ranges","Date Ranges"
"viewed","viewed"
"ordered","ordered"
"was","fue"
"was not","no fue"
"If Product %1 %2 and matches %3 of these Conditions:","If Product %1 %2 and matches %3 of these Conditions:"
"Shopping Cart","Cesta"
"Wish List","Favoritos"
"found","encontrado"
"not found","no encontrado"
"If Product is %1 in the %2 with %3 of these Conditions match:","If Product is %1 in the %2 with %3 of these Conditions match:"
"Order Address","Order Address"
"Sales Amount","Sales Amount"
"Number of Orders","Number of Orders"
"Purchased Quantity","Purchased Quantity"
"Sales","Ventas"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 while %5 of these Conditions match:"
"Total","Total"
"Average","Promedio"
"If Customer Segment %1 %2","If Customer Segment %1 %2"
"matches","matches"
"does not match","does not match"
"is one of","es uno de"
"is not one of","no es uno de"
"Shopping Cart Total","Total de la Cesta de la Compra"
"Subtotal","Subtotal"
"Grand Total","Total general"
"Tax","Impuestos"
"Gift Card","Gift Card"
"Shopping Cart %1 Amount %2 %3:","Cesta de la Compra %1 Importe %2 %3:"
"Unknown quote total specified.","Unknown quote total specified."
"Number of Cart Line Items","Número de Artículos de la Cesta por Línea"
"Number of Shopping Cart Line Items %1 %2:","Número de Artículos por línea de la Cesta de la Compra %1 %2:"
"Products Quantity","Products Quantity"
"Shopping Cart Products Qty %1 %2:","Cantidad de Productos de la Cesta de la Compra %1 %2:"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"greater than","mayor que"
"less than","menor que"
"Up To Date","Up To Date"
"Period %1 %2 Days Up To Date","Period %1 %2 Days Up To Date"
"Customer Segment","Customer Segment"
"Use in Customer Segment","Use in Customer Segment"
"Please choose a condition to add.","Please choose a condition to add."
"Enable Customer Segment Functionality","Enable Customer Segment Functionality"
"Refresh Data","Refresh Data"
"Manage Segments","Manage Segments"
"All Websites","Todos sitios web"
"CSV","CSV"
"Excel XML","Excel XML"
"Name","Nombre 	"
"Email","Correo electrónico"
"Group","Grupo"
"Phone","Teléfono"
"ZIP","C.P."
"Country","País"
"State/Province","Estado/Provincia"
"Customer Since","Cliente desde"
"View Combined Report","View Combined Report"
"Set","Set"
