"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds %1 %2.","Seleccione esta opción para permitir a DHL optimizar gastos de envío mediante la división del pedido si excede %1 %2."
"Wrong Content Type","Wrong Content Type"
"Pounds","Libras"
"Kilograms","Kilogramos"
"Inches","Centímetros"
"Centimeters","Centímetros"
"inch","pulgada"
"cm","cm"
"Height","Altura"
"Depth","Anchura"
"Width","Ancho"
"Regular","Regular"
"Specific","Específico"
"Easy shop","Compra fácil"
"Sprintline","Sprintline"
"Secureline","Secureline"
"Express easy","Envío urgente fácil"
"Europack","Europack"
"Break bulk express","Fraccionar envío urgente a granel"
"Medical express","Envío médico urgente"
"Express worldwide","Envío urgente internacional"
"Express 9:00","Envío urgente hasta las 9:00 horas"
"Express 10:30","Envío urgente hasta las 10:30 horas"
"Domestic economy select","Selección de economía doméstica"
"Economy select","Selección de economía"
"Break bulk economy","Fraccionar economía a granel"
"Domestic express","Envío urgente doméstico"
"Others","Otros"
"Globalmail business","Negocio de correo global"
"Same day","El mismo día"
"Express 12:00","Envío urgente hasta las 12:00 horas"
"Express envelope","Envío urgente sobre"
"Customer services","Atención al cliente"
"Jetline","Jetline"
"Freight worldwide","Transporte internacional"
"Jumbo box","Buzón Jumbo"
"DHL service is not available at %s date","DHL service is not available at %s date"
"The response is in wrong format.","La respuesta tiene un formato incorrecto."
"Error #%1 : %2","Error #%1 : %2"
"We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency).","We had to skip DHL method %1 because we couldn't find exchange rate %2 (Base Currency)."
"Zero shipping charge for '%1'","Zero shipping charge for '%1'"
"DHL","DHL"
"Cannot identify measure unit for %1","Cannot identify measure unit for %1"
"Cannot identify weight unit for %1","Cannot identify weight unit for %1"
"There is no items in this order","No hay artículos en este pedido"
"Please, specify origin country","Por favor, indicar país de origen"
"Documents","Documentos"
"Non Documents","No documentos"
"Height, width and length should be equal or greater than %1","Height, width and length should be equal or greater than %1"
"Wrong Region","Wrong Region"
"Unable to retrieve tracking","No se puede recuperar el seguimiento."
"Response is in the wrong format","La respuesta está en el formato incorrecto"
"No packages for request","No hay paquetes que solicitar"
"Unable to retrieve shipping label","Unable to retrieve shipping label"
"Non documents","No documentos"
"None","Ninguno"
"Enabled for Checkout","Habilitado para el proceso de pago"
"Gateway URL","URL de la pasarela"
"Title","Título"
"Access ID","ID de acceso"
"Password","Contraseña"
"Account Number","Número de cuenta"
"Content Type","Tipo de contenido"
"Calculate Handling Fee","Calcular el gastos de envío"
"Handling Applied","Gastos de tramitación aplicados"
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package."
"Handling Fee","Gastos de tramitación"
"Divide Order Weight","Dividir el peso del pedido"
"Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg.","Select this to allow DHL to optimize shipping charges by splitting the order if it exceeds 70 kg."
"Weight Unit","Unidad de peso"
"Size","Tamaño"
"Allowed Methods","Métodos permitidos"
"Displayed Error Message","Mensaje de error mostrado"
"Free Method","Método gratuito"
"Free Shipping Amount Threshold","Free Shipping Amount Threshold"
"Ship to Applicable Countries","Envío a países aplicables"
"Ship to Specific Countries","Envío a países específicos"
"Show Method if Not Applicable","Mostrar el método de envío, incluso si no se aplica"
"Sort Order","Orden de aparición"
"Debug","Depurar"
