"State/Province","Estado/Provincia"
"--Please Select--","--Por favor, seleccione--"
"lbs","lbs"
"kgs","kgs"
"Requested country is not available.","Requested country is not available."
"Please correct the target currency.","Please correct the target currency."
"Undefined rate from ""%1-%2"".","Undefined rate from ""%1-%2""."
"label","etiqueta"
"We can't retrieve a rate from %1.","We can't retrieve a rate from %1."
"FATAL ERROR:","ERROR FATAL:"
"We can't initialize the import model.","We can't initialize the import model."
"Please specify the correct Import Service.","Please specify the correct Import Service."
"WARNING:","ADVERTENCIA:"
"Please correct the country code: %1.","Please correct the country code: %1."
"Country and Format Type combination should be unique","La combinación de tipo de formato y país debe ser única"
"Please correct the rates received","Please correct the rates received"
"Please select a region, state or province.","Please select a region, state or province."
"Currency","Moneda"
"Your current currency is: %1.","La moneda actual es: %1."
"Continue","Continuar"
"Currency Update Warnings","Avisos de actualización de moneda"
"Currency Setup","Configuración de moneda"
"Currency Options","Opciones de monedas"
"Base Currency","Moneda base"
"
                        Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").
                    ","
                        Base currency is used for all online payment transactions. If you have more than one store view, the base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").
                    "
"Default Display Currency","Divisa mostrada (preseleccionada)"
"Allowed Currencies","Divisas permitidas"
"Webservicex","Webservicex"
"Connection Timeout in Seconds","Plazo de expiración de la conexión en segundos"
"Scheduled Import Settings","Configuración de la importación programada"
"Enabled","Habilitado"
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Frequency","Frecuencia"
"Service","Servicio"
"Start Time","Tiempo de inicio"
"Installed Currencies","Divisas instaladas"
"Zip/Postal Code is Optional for","Código Postal es opcional para"
"State Options","State Options"
"State is Required for","State is Required for"
"Allow to Choose State if It is Optional for Country","Allow to Choose State if It is Optional for Country"
"Weight Unit","Unidad de peso"
