"Downloadable Information","Información Descargable"
"Add New Link","Add New Link"
"Upload Files","Subir archivos"
"All Files","Todos los archivos"
"Unlimited","Ilimitado"
"Something went wrong while getting the requested content.","Something went wrong while getting the requested content."
"My Downloadable Products","My Downloadable Products"
"We can't find the link you requested.","We can't find the link you requested."
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","Please sign in to download your product or purchase <a href=""%1"">%2</a>."
"Please sign in to download your product.","Please sign in to download your product."
"The link has expired.","El enlace ha caducado."
"The link is not available.","El enlace no está disponible."
"Sorry, there was an error getting requested content. Please contact the store owner.","Lo sentimos, se ha producido un error al obtener el contenido solicitado. Por favor, póngase en contacto con el propietario de la tienda."
"Please set resource file and link type.","Por favor, asigne el archivo de recurso y el tipo de enlace."
"Invalid download link type.","Tipo de enlace de descarga no válido."
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"Provided content must be valid base64 encoded data.","Provided content must be valid base64 encoded data."
"Provided file name contains forbidden characters.","Provided file name contains forbidden characters."
"Link price must have numeric positive value.","Link price must have numeric positive value."
"Number of downloads must be a positive integer.","Number of downloads must be a positive integer."
"Sort order must be a positive integer.","Sort order must be a positive integer."
"Link URL must have valid format.","Link URL must have valid format."
"Provided file content must be valid base64 encoded data.","Provided file content must be valid base64 encoded data."
"Sample URL must have valid format.","Sample URL must have valid format."
"Order id cannot be null","El ID del pedido no puede ser nulo"
"Order item id cannot be null","El ID del artículo del pedido no puede ser nulo"
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Please specify product link(s).","Por favor, especifique el(los) enlace(s) de artículo."
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"attachment","documento adjunto"
"inline","en línea"
"Pending","Pendiente"
"Invoiced","Facturado"
"sample","Muestra"
"Is this downloadable Product?","Is this downloadable Product?"
"Links","Links"
"Add links to your product files here.","Add links to your product files here."
"[STORE VIEW]","[VISTA DE TIENDA]"
"Title","Título"
"Use Default Value","Usar valor por defecto"
"[GLOBAL]","[GLOBAL]"
"Links can be purchased separately","Los enlaces se puede comprar por separado."
"Sort Order","Orden de aparición"
"Price","Precio"
"Attach File or Enter Link","Attach File or Enter Link"
"Sample","Sample"
"Shareable","Se puede compartir"
"Max. Downloads","Máximas descargas"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'."
"Sort Variations","Sort Variations"
"File","Archivo"
"Browse Files...","Dateien durchsuchen ..."
"URL","URL"
"Yes","Sí"
"No","No 	"
"Use config","Usar config"
"Delete","Borrar"
"Samples","Samples"
"Add product preview files here.","Add product preview files here."
"SKU","SKU"
"U","U"
"Select all","Select all"
"Unselect all","Unselect all"
"Availability","Disponibilidad"
"In stock","Disponible"
"Out of stock","No está disponible"
"Go to <a href=""%1"">My Downloadable Products</a>","Go to <a href=""%1"">My Downloadable Products</a>"
"Downloadable Products","Downloadable Products"
"Order #","Pedido nº "
"Date","Fecha"
"Status","Estatus"
"Remaining Downloads","Descargas restantes"
"View Order","Ver pedido"
"Start Download","Iniciar la descarga"
"You have not purchased any downloadable products yet.","Todavía no ha adquirido ningún artículo descargable."
"Back","Volver"
"download","descarga"
"Gift Message","Mensaje regalo"
"From:","Desde:"
"To:","A:"
"Message:","Mensaje:"
"Product Name","Nombre del producto"
"Qty","Cantidad"
"Subtotal","Subtotal"
"Discount Amount","Monto de descuento"
"Row Total","Fila total"
"Qty Invoiced","Cantidad facturada"
"Ordered","Pedido realizado."
"Shipped","Enviado"
"Canceled","Cancelado"
"Refunded","Reembolsado."
"We could not detect a size.","No hemos podido detectar un tamaño."
"Downloadable Product Options","Opciones de artículo descargable"
"Order Item Status to Enable Downloads","Estado de artículo pedido para habilitar descargas"
"Default Maximum Number of Downloads","Número máximo de descargas (predeterminado)"
"Default Sample Title","Título de muestra (predeterminado)"
"Default Link Title","Título de enlace (predeterminado)"
"Open Links in New Window","Abrir enlaces en una nueva ventana"
"Use Content-Disposition","Utilizar Contenido-Disposición"
"Disable Guest Checkout if Cart Contains Downloadable Items","Deshabilitar la facturación para visitantes si el carrito contiene artículos descargables"
"Guest checkout will only work with shareable.","La facturación con visitantes sólo funcionará si se puede compartir."
