"We were unable to perform the search because of a search engine misconfiguration.","No hemos podido realizar la búsqueda debido a un error de configuración del motor de búsqueda."
"Could not ping search engine: %1","Could not ping search engine: %1"
"Elasticsearch Server Hostname","Elasticsearch Server Hostname"
"Elasticsearch Server Port","Elasticsearch Server Port"
"Elasticsearch Index Prefix","Elasticsearch Index Prefix"
"Enable Elasticsearch HTTP Auth","Enable Elasticsearch HTTP Auth"
"Elasticsearch HTTP Username","Elasticsearch HTTP Username"
"Elasticsearch HTTP Password","Elasticsearch HTTP Password"
"Elasticsearch Server Timeout","Elasticsearch Server Timeout"
"Test Connection","Test Connection"
