"Payment Type","Tipo de pago"
"Transaction Type","Tipo de transacción"
"Transaction ID","Número identificativo de la transacción"
"BeagleScore","BeagleScore"
"CVV Verification","CVV Verification"
"Address Verification","Address Verification"
"Email Verification","Email Verification"
"Mobile Verification","Mobile Verification"
"Phone Verification","Phone Verification"
"Card number","Card number"
"Expiration Date","Fecha de vencimiento"
"Response Code","Response Code"
"Fraud Message","Fraud Message"
"Approve Message","Approve Message"
"Sorry, but something went wrong","Sorry, but something went wrong"
"Wrong response type","Wrong response type"
"Transaction has been declined, please, try again later.","Transaction has been declined, please, try again later."
"Authorize Only","Sólo Autorizar"
"Authorize and Capture","Autorizar y Capturar"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Number","Número de tarjeta de crédito"
"Card Verification Number","Número de verificación de tarjeta"
"Switch/Solo/Maestro Only","Únicamente Switch/Solo/Maestro"
"Issue Number","Issue Number"
"Start Date","Fecha de inicio"
"eWAY","eWAY"
"Enabled","Habilitado"
"Connection Type","Connection Type"
"Title","Título"
"Sandbox Mode","Modo de prueba"
"Live API Key","Live API Key"
"Live API Password","Live API Password"
"Live Client-side Encryption Key","Live Client-side Encryption Key"
"Sandbox API Key","Sandbox API Key"
"Sandbox API Password","Sandbox API Password"
"Sandbox Client-side Encryption Key","Sandbox Client-side Encryption Key"
"Payment Action","Acción de pago"
"Debug","Depurar"
"Credit Card Types","Tipos de tarjeta de crédito"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Sort Order","Orden de aparición"
