"Gift Messages is not applicable for empty cart","Gift Messages is not applicable for empty cart"
"Gift Messages is not applicable for virtual products","Gift Messages is not applicable for virtual products"
"Gift Message is not available","Gift Message is not available"
"Could not add gift message to shopping cart","Could not add gift message to shopping cart"
"There is no item with provided id in the cart","There is no item with provided id in the cart"
"There is no product with provided  itemId: %1 in the cart","There is no product with provided  itemId: %1 in the cart"
"There is no item with provided id in the order","There is no item with provided id in the order"
"There is no item with provided id in the order or gift message isn't allowed","There is no item with provided id in the order or gift message isn't allowed"
"Could not add gift message to order: ""%1""","Could not add gift message to order: ""%1"""
"There is no order with provided id or gift message isn't allowed","There is no order with provided id or gift message isn't allowed"
"There is no order with provided id","There is no order with provided id"
"Gift Messages is not applicable for empty order","Gift Messages is not applicable for empty order"
"Could not add gift message to order's item: \"%1\"","Could not add gift message to order's item: \"%1\""
"Unknown entity type","Tipo de entidad desconocido"
"From","Desde"
"To","Hasta"
"Message","Message"
"Cancel","Cancelar"
"OK","Aceptar"
"Gift Options","Opciones de regalo"
"Gift Message","Mensaje regalo"
"Do you have any gift items in your order?","¿Tiene artículos de regalo en su pedido?"
"Add gift options","Añadir opciones de regalo"
"Gift Options for the Entire Order","Opciones de regalo para todo el pedido"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Leave this box blank if you don't want to leave a gift message for the entire order."
"Gift Options for Individual Items","Opciones de regalo para artículos individuales."
"<span>Item %1</span> of %2","<span>Artículo %1</span> de %2"
"Leave a box blank if you don't want to add a gift message for that item.","Leave a box blank if you don't want to add a gift message for that item."
"Add Gift Options for the Entire Order","Add Gift Options for the Entire Order"
"You can leave this box blank if you don't want to add a gift message for this address.","You can leave this box blank if you don't want to add a gift message for this address."
"Add gift options for Individual Items","Añadir opciones de regalo para artículos individuales"
"You can leave this box blank if you don't want to add a gift message for the item.","You can leave this box blank if you don't want to add a gift message for the item."
"Allow Gift Messages on Order Level","Permitir mensajes de regalo en nivel de pedido"
"Allow Gift Messages for Order Items","Permitir mensajes de regalo en artículos pedidos"
