"Grouped Products","Artículos agrupados"
"Please specify the quantity of product(s).","Por favor, especifique la cantidad de artículo(s)."
"Cannot process the item.","No se puede procesar el elemento."
"Associated Products","Artículos asociados"
"Availability:","Disponibilidad:"
"Out of stock","Agotado"
"ID","ID"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Product Name","Nombre del artículo"
"Price","Precio"
"Qty","Cantidad"
"No options of this product are available.","No hay opciones disponibles de este artículo."
"There are no grouped products.","No existen artículos agrupados."
"Name","Nombre 	"
"Default Qty","Cantidad (predeterminado)"
"Starting at","Desde"
"Availability","Disponibilidad"
"In stock","Disponible"
"Grouped product items","Elementos de artículos agrupados"
"Add Products to Group","Agregar artículos al grupo"
"Add Selected Products","Añadir artículos seleccionados"
"Grouped Product Image","Imagen de artículo agrupado"
