"Admin Actions Log Archive","Log de las Acciones de Admin"
"Back","Volver"
"Log Entry #%1","Log Entry #%1"
"Log Entry Details","Log Entry Details"
"Source Data","Source Data"
"Value Before Change","Value Before Change"
"Value After Change","Value After Change"
"No changes","No changes"
"The item was deleted","The item was deleted"
"N/A","N/A"
"All Users","All Users"
"Admin Actions Log","Admin Actions Log"
"Admin Actions Archive","Admin Actions Archive"
"Report","Informe"
"label","etiqueta"
"actions' 'label","actions' 'label"
"%1 & applied","%1 & applied"
"Tax Rates Import","Tax Rates Import"
"Attributes Updated","Attributes Updated"
"Currency Rates Saved","Currency Rates Saved"
"Cache types: %1 ","Cache types: %1 "
"Tax Rates Export","Tax Rates Export"
"Unknown callback function: %1::%2","Unknown callback function: %1::%2"
"You need more permissions to access this.","Necesita más permisos para acceder a esto."
"Success","Éxito"
"Failure","Failure"
"Daily","Diario"
"Weekly","Semanalmente"
"Monthly","Mensualmente"
"This user is locked","This user is locked"
"Admin User Data","Admin User Data"
"Aggregated Information","Aggregated Information"
"Admin User ID","Admin User ID"
"Admin User Name","Admin User Name"
"IP-Address","IP-Address"
"X-Forwarded For","X-Forwarded For"
"Error Message","Error Message"
"Related Changes","Related Changes"
"Admin Actions Log Archiving","Admin Actions Log Archiving"
"Log Entry Lifetime, Days","Log Entry Lifetime, Days"
"Log Archiving Frequency","Log Archiving Frequency"
"Admin Actions Logging","Admin Actions Logging"
"Enabled Actions","Enabled Actions"
"1","1"
"View","Ver"
"Save","Guardar"
"Delete","Borrar"
"Mass Delete","Mass Delete"
"Export","Exportar"
"Import","Importar"
"Edit","Editar"
"Mass Update","Mass Update"
"Move","Mover"
"New","Nuevo"
"Forgot Password","Forgot Password"
"Global Search","Globale Suche"
"Apply","Aplicar"
"Reorder","Volver a hacer el pedido"
"Print","Imprimir"
"Email","Correo electrónico"
"Run","Ausführen"
"Rollback","Wiederherstellung"
"Reindex Process","Reindex Process"
"Clean","Clean"
"Flush","Flush"
"Fetch","Optener"
"Update Payment","Update Payment"
"Update State","Update State"
"Login","Entrar"
"Send","Send"
"Create","Crear"
"Catalog Products","Catalog Products"
"Catalog Categories","Catalog Categories"
"URL Rewrites","URL Rewrites"
"Catalog Search","Catálogo de búsquedas"
"Catalog Ratings","Catalog Ratings"
"Catalog Reviews","Catalog Reviews"
"Catalog Attributes","Catalog Attributes"
"Catalog Product Templates","Catalog Product Templates"
"Admin Sign In","Admin Sign In"
"CMS Pages","CMS Pages"
"CMS Blocks","CMS Blocks"
"Customers","Clientes"
"Customer Groups","Grupos de cliente"
"Reports","Informes"
"System Configuration","System Configuration"
"Catalog Price Rules","Catálogo Normas sobre precios"
"Cart Price Rules","Cart Price Rules"
"Admin My Account","Admin My Account"
"Newsletter Queue","Cola del boletín informativo"
"Newsletter Templates","Plantillas del boletín informativo"
"Newsletter Subscribers","Suscriptores del boletín informativo"
"Sales Orders","Sales Orders"
"Sales Order Status","Sales Order Status"
"Sales Invoices","Sales Invoices"
"Sales Shipments","Sales Shipments"
"Sales Credit Memos","Sales Credit Memos"
"Checkout Terms and Conditions","Términos y condiciones de pago"
"Admin Permission Roles","Admin Permission Roles"
"Admin Permission Users","Admin Permission Users"
"Manage Websites","Manage Websites"
"Manage Stores","Gestionar tiendas"
"Manage Store Views","Manage Store Views"
"Manage Design","Manage Design"
"Manage Currency Rates","Gestión de tipos de cambio"
"Transactional Emails","Correos electrónicos transaccionales"
"Custom Variables","Variables personalizadas"
"System Backups","System Backups"
"Customer Tax Classes","Clases de impuestos del cliente"
"Catalog Product Tax Classes","Catalog Product Tax Classes"
"Tax Rules","Reglas de impuestos"
"Tax Rates","Tax Rates"
"XML Sitemap","XML Sitemap"
"Widget","Aplicación"
"Cache Management","Gestión de caché"
"PayPal Settlement Reports","Informes de liquidación de PayPal"
"Archive File","Archive File"
"Date","Fecha"
"CSV","CSV"
"Excel XML","Excel XML"
"Time","Zeit"
"Action Group","Action Group"
"Action","Acción"
"IP Address","Dirección IP"
"Username","Nombre de Usuario"
"Result","Result"
"Full Action Name","Full Action Name"
"Details","Detalles"
"Full Details","Full Details"
