"Wishlist","Lista de deseos"
"Customer's Wish List Report","Customer's Wish List Report"
"My Wish Lists","Mis listas de deseos"
"1 item in wish list","1 item in wish list"
"%1 items in wish list","%1 items in wish list"
"Wish List Search","Búsqueda en lista de deseos"
"Select Search Type","Select Search Type"
"Reports","Informes"
"Customers","Clientes"
"Customer Wish List Report","Customer Wish List Report"
"Wish list ""%1"" was saved.","Wish list ""%1"" was saved."
"We can't create the wish list right now.","We can't create the wish list right now."
"Page not found.","Página no encontrada."
"""%1"" was copied to %2.","""%1"" was copied to %2."
"We can't find the item.","We can't find the item."
"""%1"" is already present in %2.","""%1"" is already present in %2."
"We can't copy \"%1\".","We can't copy \"%1\"."
"We can't copy the wish list item.","We can't copy the wish list item."
"We can't find %1 items.","We can't find %1 items."
"We can't copy %1 items.","We can't copy %1 items."
"%1 items are already present in %2: %3.","%1 items are already present in %2: %3."
"%1 items were copied to %2: %3.","%1 items were copied to %2: %3."
"You can't delete the default wish list.","You can't delete the default wish list."
"Wish List ""%1"" has been deleted.","Wish List ""%1"" has been deleted."
"We can't delete the wish list right now.","We can't delete the wish list right now."
"""%1"" was moved to %2.","""%1"" was moved to %2."
"We can't find an item with this ID.","We can't find an item with this ID."
"We cannot move ""%1"".","We cannot move ""%1""."
"We can't move the wish list item.","We can't move the wish list item."
"%1 items cannot be moved: %2.","%1 items cannot be moved: %2."
"We can't move %1 items.","We can't move %1 items."
"%1 items were moved to %2: %3.","%1 items were moved to %2: %3."
"%1 for ""%2""","%1 for ""%2"""
"We can't add the item to shopping cart.","We can't add the item to shopping cart."
"We can't add the following product(s) to shopping cart: %1.","We can't add the following product(s) to shopping cart: %1."
"Product(s) %1 have required options. Each product can only be added individually.","Product(s) %1 have required options. Each product can only be added individually."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Please reenter your search options.","Please reenter your search options."
"We could not perform the search.","We could not perform the search."
"All Forms","All Forms"
"Owner Name","Owner Name"
"Owner Email","Owner Email"
"%1's Wish List","%1's Wish List"
"%1's Wish List (%2)","%1's Wish List (%2)"
"Please enter a valid email address.","Por favor, ingrese una dirección de correo electrónico válida."
"Please enter at least 2 letters of the first name.","Please enter at least 2 letters of the first name."
"Please enter at least 2 letters of the last name.","Please enter at least 2 letters of the last name."
"Sign in to edit wish lists.","Sign in to edit wish lists."
"The wish list is not assigned to your account and can't be edited.","The wish list is not assigned to your account and can't be edited."
"Provide the wish list name.","Provide the wish list name."
"Wish list ""%1"" already exists.","Wish list ""%1"" already exists."
"Only %1 wish list(s) can be created.","Only %1 wish list(s) can be created."
"Test Phrase","Test Phrase"
"Unknown Magento error","Unknown Magento error"
"InvalidArgumentException","InvalidArgumentException"
"Refresh","Actualizar"
"All Wish Lists","All Wish Lists"
"Item","Articulo"
"Qty","Cantidad"
"Price","Precio"
"Remove","Eliminar"
"Add To Order","Añadir al pedido"
"Configure and Add to Order","Configurar y añadir al pedido"
"No items","No hay artículos"
"Delete Wish List","Delete Wish List"
"Owner","Owner"
"Name","Nombre 	"
"Updated","Updated"
"Wish List Items","Wish List Items"
"You must select items to add to the cart.","You must select items to add to the cart."
"Add to Cart","Añadir al carrito"
"Back","Volver"
"Add to:","Add to:"
"Create New Wish List","Create New Wish List"
"Move to Wish List","Mover a lista de deseos"
"Copy to Wish List","Copy to Wish List"
"Search Options","Search Options"
"Required Fields","Campos obligatorios"
"First Name","Nombre"
"Last Name","Apellidos"
"Search","Buscar"
"Search Results","Resultados de Búsqueda"
"Wish List Name","Wish List Name"
"Actions","Acciones"
"View","Ver"
"Your search returned no results.","Your search returned no results."
"Wish List","Favoritos"
"Edit Wish List","Edit Wish List"
"Edit","Editar"
"Public Wish List","Public Wish List"
"Private Wish List","Private Wish List"
"Select all","Select all"
"Move Selected to Wish List","Move Selected to Wish List"
"Copy Selected to Wish List","Copy Selected to Wish List"
"Search By","Buscar por"
"Please enter at least two letters.","Please enter at least two letters."
"Close","Cerrar"
"Save","Guardar"
"Cancel","Cancelar"
"We can't create the Wish List right now.","We can't create the Wish List right now."
"Please select items to move.","Please select items to move."
"Please select items to copy.","Please select items to copy."
"Are you sure you want to delete your wish list? This action can't be undone.","Are you sure you want to delete your wish list? This action can't be undone."
"Enable Multiple Wish Lists","Enable Multiple Wish Lists"
"Number of Multiple Wish Lists","Number of Multiple Wish Lists"
"The number of multiple wish lists should be equal to or more than 2.","The number of multiple wish lists should be equal to or more than 2."
"My Wish Lists Link","Enlace de mis listas de deseos"
"Display Wish Lists Summary","Mostrar Resumen de listas de deseos"
"Wish List Search Description","Wish List Search Description"
"Quick Search Form Types","Quick Search Form Types"
"Template","Plantilla"
"Wish List Search Template","Wish List Search Template"
"CSV","CSV"
"Excel XML","Excel XML"
"Added","Added"
"Customer","Cliente"
"Status","Estatus"
"Public","Public"
"Private","Private"
"Product","Producto"
"SKU","SKU"
"Comment","Comentario"
"Wish List Quantity","Wish List Quantity"
"Store Quantity","Store Quantity"
"Surplus / Deficit","Surplus / Deficit"
"All Websites","Todos sitios web"
"Product Info","Product Info"
"Unit Price","Precio Unitario"
"Add to Wish List","Add to Wish List"
