"Delete Selected Problems","Eliminar problemas seleccionados"
"Unsubscribe Selected","Cancelar las suscripciones seleccionadas"
"Back","Volver"
"Reset","Restablecer"
"Preview Template","Vista previa de la plantilla"
"Save Newsletter","Guardar el boletín informativo"
"Save and Resume","Guardar y reanudar"
"View Newsletter","Ver boletín informativo"
"Edit Newsletter","Editar el boletín informativo"
"Queue Information","Información de la cola de tareas"
"Queue Date Start","Fecha de inicio de la cola de tareas"
"Subscribers From","Suscriptores de"
"Subject","Asunto"
"Sender Name","Nombre del remitente"
"Sender Email","Correo electrónico del remitente"
"Message","Message"
"Newsletter Styles","Estilos del boletín informativo"
"Start","Comenzar"
"Pause","Pausa"
"Do you really want to cancel the queue?","¿Realmente quiere cancelar la cola?"
"Cancel","Cancelar"
"Resume","Reanudar"
"Preview","Vista previa"
"Add New Template","Nueva plantilla"
"Newsletter Templates","Plantillas del boletín informativo"
"Convert to Plain Text","Convertir a texto sin formato"
"Return HTML Version","Devolver versión HTML"
"Delete Template","Eliminar plantilla"
"Save As","Guardar como"
"Save Template","Guardar la plantilla"
"Edit Newsletter Template","Editar la plantilla para el boletín informativo"
"New Newsletter Template","Nueva plantilla para el boletín informativo"
"Template Information","Información de la plantilla"
"Template Name","Nombre de plantilla"
"Template Subject","Asunto de la plantilla"
"Template Content","Contenido de plantilla"
"Template Styles","Estilos de plantilla"
"No Templates Found","No se encontraron plantillas"
"ID","ID"
"Template","Plantilla"
"Added","Added"
"Updated","Updated"
"Sender","Remitente"
"Template Type","Tipo de plantilla"
"Action","Acción"
"Queue Newsletter","Queue Newsletter"
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"The problems you identified have been deleted.","The problems you identified have been deleted."
"Newsletter Problems Report","Newsletter Problems Report"
"Newsletter Problem Reports","Informes de problemas del boletín informativo"
"Newsletter Queue","Cola del boletín informativo"
"Edit Queue","Editar la cola de tareas"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"You saved the newsletter queue.","You saved the newsletter queue."
"Newsletter Subscribers","Suscriptores del boletín informativo"
"Newsletter","Boletín informativo"
"Subscribers","Suscriptores"
"Please select one or more subscribers.","Please select one or more subscribers."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"We can't delete this template right now.","We can't delete this template right now."
"Edit Template","Editar la plantilla"
"New Template","Nueva plantilla"
"Create Newsletter Template","Crear plantilla para el boletín de informativo"
"The newsletter template has been saved.","The newsletter template has been saved."
"Something went wrong while saving this template.","Something went wrong while saving this template."
"Newsletter Subscription","Suscripción al boletín informativo"
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Su suscripción ha sido confirmada."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"This email address is already assigned to another user.","Esta dirección de correo ya se asignó a otro usuario."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>."
"Please enter a valid email address.","Por favor, ingrese una dirección de correo electrónico válida."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Gracias por suscribirse."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"You unsubscribed.","You unsubscribed."
"Something went wrong while unsubscribing you.","Something went wrong while unsubscribing you."
"Sent","Enviado"
"Cancelled","Cancelado"
"Not Sent","No enviado"
"Sending","Enviando"
"Paused","En pausa"
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Choose Store View:","Ladenansicht wählen:"
"Newsletter Message Preview","Vista previa del boletín informativo"
"Add to Queue","Añadir a la cola"
"Are you sure that you want to strip all tags?","¿Realmente quiere desaplicar todas las etiquetas?"
"Please enter a new template name.","Please enter a new template name."
" Copy","Copia"
"Are you sure you want to delete this template?","Are you sure you want to delete this template?"
"Sign Up for Our Newsletter:","Inscríbase a nuestro boletín de noticias:"
"Enter your email address","Introduzca su dirección de correo electrónico"
"Subscribe","Suscribirse"
"Thank you for subscribing to our newsletter.","Thank you for subscribing to our newsletter."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:"
