"Make Check payable to:","Pagar el cheque a:"
"Send Check to:","Enviar cheque a:"
"Purchase Order Number","Número de pedido."
"Make Check payable to: %1","Make Check payable to: %1"
"Purchase Order Number: %1","Purchase Order Number: %1"
"Make Check payable to","Make Check payable to"
"Send Check to","Enviar cheque a"
"Check / Money Order","Cheque / Orden de pago internacional"
"Enabled","Habilitado"
"New Order Status","Nuevo estado del pedido"
"Sort Order","Orden de aparición"
"Title","Título"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Make Check Payable to","Pagar el cheque a"
"Minimum Order Total","Total mínimo de la orden"
"Maximum Order Total","Total máximo de la orden"
"Purchase Order","Orden de compra"
"Bank Transfer Payment","Pago por transferencia bancaria"
"Instructions","Instrucciones"
"Cash On Delivery Payment","Pago contra reembolso"
"Zero Subtotal Checkout","Proceso de pago con un total de cero"
"Automatically Invoice All Items","Facturar automáticamente todos los artículos"
