"Country","País"
"Region/State","Región/Provincia"
"Zip/Postal Code","Código Postal"
"Shipping Price","Precio de envío"
"Export CSV","CSV exportieren"
"Store Pickup","Se recoge en tienda"
"Weight vs. Destination","Peso vs. destino"
"Price vs. Destination","Precio vs destino"
"# of Items vs. Destination","Nº de elementos vs. destino"
"Weight (and above)","Peso (y más)"
"Order Subtotal (and above)","Subtotal del pedido (y anteriores)"
"# of Items (and above)","Nº de elementos (o más)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","Ninguno"
"Per Order","Por pedido"
"Per Item","Pro Artikel"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"Something went wrong while importing table rates.","Something went wrong while importing table rates."
"We couldn't import this file because of these errors: %1","We couldn't import this file because of these errors: %1"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Please correct %1 ""%2"" in the Row #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Free Shipping","Transporte gratuito"
"No","No 	"
"For matching items only","Sólo para artículos correspondientes"
"For shipment with matching items","Para envíos con artículos correspondientes"
"Flat Rate","Tarifa plana"
"Enabled","Habilitado"
"Method Name","Nombre del método"
"Price","Precio"
"Calculate Handling Fee","Calcular el gastos de envío"
"Handling Fee","Gastos de tramitación"
"Sort Order","Orden de aparición"
"Title","Título"
"Type","Type"
"Ship to Applicable Countries","Envío a países aplicables"
"Ship to Specific Countries","Envío a países específicos"
"Show Method if Not Applicable","Mostrar el método de envío, incluso si no se aplica"
"Displayed Error Message","Mensaje de error mostrado"
"Table Rates","Tarifa basada en tablas"
"Condition","Condición"
"Include Virtual Products in Price Calculation","Includir artículos virtuales a la calculación del precio"
"Export","Exportar"
"Import","Importar"
"Minimum Order Amount","Pedido mínimo"
