"Not you?","¿No es Usted?"
"Your shopping cart has been updated with new prices.","Su carro de compras se ha actualizado con nuevos precios."
"Welcome, %1!","Welcome, %1!"
"We cannot load the configuration from file %1.","We cannot load the configuration from file %1."
"Method ""%1"" is not defined in ""%2""","Method ""%1"" is not defined in ""%2"""
"To check out, please sign in using your email address.","To check out, please sign in using your email address."
"Remember Me","Recordarme"
"What's this?","¿Qué es esto?"
"Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.","Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in."
"Persistent Shopping Cart","Carrito de compras persistente"
"General Options","Opciones generales"
"Enable Persistence","Activar persistencia"
"Persistence Lifetime (seconds)","Duración de la persistencia (segundos)"
"Enable ""Remember Me""","Activar ""Recordarme"""
"""Remember Me"" Default Value","Valor predeterminado de ""Recordarme"""
"Clear Persistence on Sign Out","Clear Persistence on Sign Out"
"Persist Shopping Cart","Hacer persistente la cesta de la compra"
