"New Accounts","Clientes con nuevas cuentas"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by Orders Total","Clientes por total de pedidos"
"Filter","Filtro"
"Date Used","Date Used"
"Day","Día"
"Month","Mes"
"Year","Año"
"Period","Período"
"From","Desde"
"To","Hasta"
"Yes","Sí"
"No","No 	"
"Empty Rows","Filas vacías"
"Invalid date specified","Invalid date specified"
"Refresh","Actualizar"
"We can't find records for this period.","We can't find records for this period."
"Show Reviews","Kundenrezensionen anzeigen"
"Products Report","Informe de artículos"
"Downloads","Descargas"
"Product","Producto"
"Link","Enlace"
"SKU","SKU"
"Purchases","Compras"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Ilimitado"
"Low stock","Existencia baja"
"Products Ordered","Artículos pedidos"
"Most Viewed","Más vistos"
"Show Report","Mostrar informe"
"Interval","Interval"
"Total","Total"
"Price","Precio"
"Views","Vistas"
"Refresh Statistics","Actualizar estadísticas"
"Customers Reviews","Reseñas de clientes"
"Reviews for %1","Reviews for %1"
"Customer","Cliente"
"Title","Título"
"Detail","Detalle"
"Created","Creado"
"Products Reviews","Reseñas de artículos"
"Products Bestsellers Report","Informe de artículos más vendidos"
"Order Quantity","Order Quantity"
"Coupons Usage Report","Informe acerca del uso de cupones"
"Subtotal","Subtotal"
"Coupon Code","Código de cupón"
"Price Rule","Price Rule"
"Uses","Usos"
"Sales Subtotal","Subtotal de ventas"
"Sales Discount","Descuento de ventas"
"Sales Total","Total"
"Discount","Descuento"
"Total Invoiced vs. Paid Report","Total facturado vs. informe de pagos"
"Orders","Pedidos"
"Invoiced Orders","Invoiced Orders"
"Total Invoiced","Total facturado"
"Paid Invoices","Paid Invoices"
"Unpaid Invoices","Unpaid Invoices"
"Total Refunded Report","Informe de todos las reembolsas"
"Refunded Orders","Refunded Orders"
"Total Refunded","Total reembolsado"
"Online Refunds","Online Refunds"
"Offline Refunds","Offline Refunds"
"Total Ordered Report","Informe de todos los pedidos"
"Sales Items","Artículos vendidos"
"Items","Artículos"
"Revenue","Ingresos"
"Profit","Ganancia"
"Invoiced","Facturado"
"Paid","Pagado"
"Refunded","Reembolsado."
"Sales Tax","Impuesto de Ventas"
"Tax","Impuestos"
"Sales Shipping","Envíos"
"Shipping","Envío"
"Canceled","Cancelado"
"Total Shipped Report","Informe de todos los envíos"
"Carrier/Method","Transportista/Método"
"Total Sales Shipping","Gastos de envío"
"Total Shipping","Gastos de envío"
"Order Taxes Report Grouped by Tax Rate","Informe de impuestos - Pedidos por tasas de impuestos"
"Rate","Tasa"
"Tax Amount","Importe de impuestos"
"Abandoned carts","Carritos abandonados"
"Email","Correo electrónico"
"Products","Productos"
"Quantity","Cantidad"
"Applied Coupon","Cupón aplicado"
"Updated","Updated"
"IP Address","Dirección IP"
"Customers","Clientes"
"ID","ID"
"First Name","Nombre"
"Last Name","Apellidos"
"Items in Cart","Artículos en el carrito"
"Products in carts","Artículos en carritos"
"Carts","Carritos"
"Name","Nombre 	"
"Wish Lists","Wish Lists"
"Wish List Purchase","Wish List Purchase"
"Wish List vs. Regular Order","Wish List vs. Regular Order"
