"Save Review","Guardar reseña"
"New Review","Nueva revisión"
"Review Details","Detalles de reseña"
"Product","Producto"
"Product Rating","Valoración de artículo"
"Status","Estatus"
"Visibility","Visibilidad"
"Nickname","Nickname"
"Summary of Review","Resumen de revisión"
"Review","Reseña"
"Previous","Anterior"
"Save and Previous","Save and Previous"
"Save and Next","Save and Next"
"Next","Siguiente"
"Delete Review","Eliminar reseñas"
"Are you sure you want to do this?","¿Está seguro que desea hacer esto?"
"Edit Review '%1'","Edit Review '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Administrador"
"Guest","Visitante"
"Author","Author"
"Summary Rating","Resumen de clasificación"
"Detailed Rating","Valoración detallada"
"ID","ID"
"Created","Creado"
"Title","Título"
"Type","Tipo"
"SKU","SKU"
"Action","Acción"
"Edit","Editar"
"Delete","Borrar"
"Are you sure?","¿Seguro que quiere continuar?"
"Update Status","Actualizar estado"
"Customer","Cliente"
"Pending Reviews of Customer `%1`","Pending Reviews of Customer `%1`"
"Pending Reviews","Reseñas pendientes"
"All Reviews of Customer `%1`","All Reviews of Customer `%1`"
"All Reviews of Product `%1`","All Reviews of Product `%1`"
"All Reviews","Todas las reseñas"
"Name","Nombre 	"
"Product Store Name","Product Store Name"
"Price","Precio"
"Quantity","Cantidad"
"Websites","Sitios web"
"Manage Ratings","Administrar puntuaciones"
"Add New Rating","Agregar nueva puntuación"
"Save Rating","Guardar puntuación"
"Delete Rating","Eliminar puntuación"
"Edit Rating #%1","Edit Rating #%1"
"New Rating","Nueva puntuación"
"Rating Title","Visibilidad de la puntuación"
"Default Value","Valor predeterminado"
"Rating Visibility","Visibilidad de la puntuación"
"Is Active","Is Active"
"Sort Order","Orden de aparición"
"Rating Information","Información sobre la puntuación"
"Product Reviews","Reseñas de artículo"
"Pending product review(s)","Reseñas pendientes para el artículo"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Product: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Summary of review: %1 <br/>"
"Review: %1 <br/>","Review: %1 <br/>"
"Store: %1 <br/>","Store: %1 <br/>"
"Click <a href=""%1"">here</a> to see the review.","Click <a href=""%1"">here</a> to see the review."
"Product: ""%1"" reviewed by: %2","Product: ""%1"" reviewed by: %2"
"Pending Reviews RSS","RSS de reseñas pendientes"
"Reviews %1","Reviews %1"
"Reviews","Reseñas"
"The review has been deleted.","The review has been deleted."
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Customer Reviews","Reseñas de cliente"
"Edit Review","Editar Comentarios"
"We can't retrieve the product ID.","We can't retrieve the product ID."
"Please select review(s).","Por favor, seleccione revisión(es)."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting these records.","Something went wrong while deleting these records."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating these review(s).","Something went wrong while updating these review(s)."
"You saved the review.","You saved the review."
"Something went wrong while saving this review.","Something went wrong while saving this review."
"The review was removed by another user or does not exist.","La reseña no existe o fue eliminada por otro usuario."
"You deleted the rating.","You deleted the rating."
"Ratings","Ratings"
"You saved the rating.","You saved the rating."
"My Product Reviews","Reseñas de mi artículo"
"You submitted your review for moderation.","You submitted your review for moderation."
"We can't post your review right now.","We can't post your review right now."
"Storage key was not set","Storage key was not set"
"Approved","Aprobado"
"Pending","Pendiente"
"Not Approved","No aprobado"
"Please enter a review summary.","Please enter a review summary."
"Please enter a nickname.","Please enter a nickname."
"Please enter a review.","Please enter a review."
"Rating isn't Available","La puntuación no está disponible"
"Please specify a rating title for a store, or we'll just use the default value.","Please specify a rating title for a store, or we'll just use the default value."
"Assigned Options","Opciones asignadas"
"Option Title:","Título de opciones:"
"Product Name","Nombre del producto"
"Rating","Rating"
"Actions","Acciones"
"See Details","Ver información"
"You have submitted no reviews.","No has enviado ninguna reseña."
"Back","Volver"
"My Recent Reviews","Mis reseñas recientes"
"View All","Ver todo"
"Average Customer Rating:","Revisión media de clientes:"
"Your Review","Your Review"
"Submitted on %1","Submitted on %1"
"Back to My Reviews","Volver a mis reseñas"
"Ratings Review Summary","Resumen de revisión de calificaciones"
"Be the first to review this product","Sea el primero en dejar una reseña para este artículo"
"Write Your Own Review","Escribir Su propia reseña"
"* Required Fields","* Campos obligatorios"
"You're reviewing:","Estás revisando:"
"Your Rating","Your Rating"
"%1 %2","%1 %2"
"Summary","Resumen"
"Submit Review","Transmitir reseña del cliente"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Add Your Review","Añadir Su reseña"
"%1 Review(s)","%1 Review(s)"
"Review by","Review by"
"Posted on","Posted on"
"Back to Main Product Info","Volver a información principal del artículo"
"Average Customer Rating","Valoración media de clientes"
"Product Rating:","Valoración de artículo:"
"Product Review (submitted on %1):","Product Review (submitted on %1):"
"Back to Product Reviews","Volver a reseñas de artículo"
"Allow Guests to Write Reviews","Permitir a los visitantes escribir reseñas"
"Active","Activo"
"Inactive","Inactivo"
