"Apply","Aplicar"
"Please choose a valid discount amount.","Por favor, elija un monto de descuento válido."
"End Date must follow Start Date.","End Date must follow Start Date."
"Please specify a website.","Por favor especifique un sitio Web."
"Please specify Customer Groups.","Please specify Customer Groups."
"to","hasta"
"by","por"
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Realizar las siguientes acciones"
"is","es"
"is not","no es"
"equals or greater than","igual o mayor que"
"equals or less than","igual o menor que"
"greater than","mayor que"
"less than","menor que"
"contains","contiene"
"does not contain","no contiene"
"is one of","es uno de"
"is not one of","no es uno de"
"Please choose a condition to add.","Please choose a condition to add."
"Add","Agregar"
"Remove","Eliminar"
"ALL","TODO"
"ANY","CUALQUIER"
"TRUE","VERDADERO"
"FALSE","FALSO"
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"Conditions Combination","Combinación de condiciones"
"Attribute Set","Conjunto de atributos"
"Category","Categoría"
"Open Chooser","Abrir el buscador"
"Unknown condition operator","Unknown condition operator"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
"This won't take long . . .","This won't take long . . ."
