"Advanced Inventory","Inventario avanzado"
"Manage Stock","Gestionar existencias"
"Yes","Sí"
"No","No 	"
"Use Config Settings","Usar opciones de configuración"
"[GLOBAL]","[GLOBAL]"
"Qty","Cantidad"
"Out-of-Stock Threshold","Out-of-Stock Threshold"
"Minimum Qty Allowed in Shopping Cart","Cantidad Mínima Permitida en la Cesta de Compra"
"Maximum Qty Allowed in Shopping Cart","Cantidad Máxima Permitida en la Cesta del Carrito"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Backorders","Pedidos pendientes"
"Use deferred Stock update","Use deferred Stock update"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Qty Increments","Incrementos de cantidad"
"Stock Availability","Disponibilidad de inventario"
