"Page not found.","Página no encontrada."
"You can't send messages more than %1 times an hour.","You can't send messages more than %1 times an hour."
"The link to a friend was sent.","El enlace fue envíado a un amigo."
"We found some problems with the data.","We found some problems with the data."
"Some emails were not sent.","No se enviaron algunos mensajes de correo electrónico."
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"Please enter a sender name.","Please enter a sender name."
"Invalid Sender Email","Invalid Sender Email"
"Please enter a message.","Please enter a message."
"Please specify at least one recipient.","Please specify at least one recipient."
"Please enter a correct recipient email address.","Please enter a correct recipient email address."
"No more than %1 emails can be sent at a time.","No more than %1 emails can be sent at a time."
"Please define a correct product instance.","Please define a correct product instance."
"Invalid Sender Information","Información del remitente inválida"
"Please define the correct sender information.","Please define the correct sender information."
"IP Address","Dirección IP"
"Cookie (unsafe)","Cookie (inseguro)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Remove Recipent"
"Remove","Eliminar"
"Name","Nombre 	"
"Email","Correo electrónico"
"* Required Fields","* Campos obligatorios"
"Sender","Remitente"
"Message","Message"
"Invitee","Invitee"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Add Invitee","Add Invitee"
"Send Email","Envíar correo electrónico"
"Back","Volver"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name wants to share this product with you:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Escribir correo electrónico a un amigo"
"Email Templates","Plantillas de correo electrónico"
"Enabled","Habilitado"
"Select Email Template","Elegir plantilla de correo electrónico"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Allow for Guests","Permitir visitantes"
"Max Recipients","Máximos destinatarios."
"Max Products Sent in 1 Hour","Máximos artículos enviados en 1 hora"
"Limit Sending By","Límite de envío por"
