"New Shipment for Order #%1","New Shipment for Order #%1"
"Submit Shipment","Enviar albarán"
"You are trying to add a quantity for some products that doesn't match the quantity that was shipped.","You are trying to add a quantity for some products that doesn't match the quantity that was shipped."
"Products should be added to package(s)","Los artículos deberían ser añadidos a paquete(s)"
"The value that you entered is not valid.","El valor que ha introducido no es válido."
"Add Tracking Number","Añadir código de seguimiento"
"Custom Value","Valor personalizado"
"Add","Agregar"
"Send Tracking Information","Enviar información de seguimiento"
"Are you sure you want to send a Shipment email to customer?","Are you sure you want to send a Shipment email to customer?"
"Print","Imprimir"
"the shipment email was sent","El correo electrónico del envío fue enviado"
"the shipment email is not sent","El correo electrónico del envío no se ha enviado"
"Shipment #%1 | %3 (%2)","Shipment #%1 | %3 (%2)"
"Create Shipping Label...","Crear etiqueta de envío..."
"Print Shipping Label","Imprimir etiqueta de envío"
"Show Packages","Mostrar paquetes"
"About Your Shipment","Acerca de su envío"
"Order # %1","Pedido # %1"
"Back to My Orders","Volver a mis pedidos"
"View Another Order","Ver otro pedido"
"Please enter a comment.","Please enter a comment."
"Cannot add new comment.","No se puede agregar un nuevo comentario."
"Please specify a carrier.","Please specify a carrier."
"Please enter a tracking number.","Por favor, introduzca un número de seguimiento."
"Shipments","Albaranes "
"We can't initialize shipment for adding tracking number.","We can't initialize shipment for adding tracking number."
"Cannot add tracking number.","No se puede agregar el número de seguimiento."
"You created the shipping label.","You created the shipping label."
"An error occurred while creating shipping label.","Ha ocurrido un error al crear la etiqueta de envío."
"You sent the shipment.","You sent the shipment."
"Cannot send shipment information.","No puede enviar la información del envío."
"There are no shipping labels related to selected orders.","No existen etiquetas de envío vinculadas a los pedidos seleccionados."
"New Shipment","Nuevo envío"
"We don't recognize or support the file extension in this shipment: %1.","We don't recognize or support the file extension in this shipment: %1."
"We can't initialize shipment for delete tracking number.","We can't initialize shipment for delete tracking number."
"We can't delete tracking number.","We can't delete tracking number."
"We can't load track with retrieving identifier right now.","We can't load track with retrieving identifier right now."
"We can't save the shipment right now.","We can't save the shipment right now."
"The shipment has been created.","El envío ha sido creado."
"Cannot save shipment.","No se puede guardar el envío."
"The order no longer exists.","Este pedido ya no existe."
"Cannot do shipment for the order separately from invoice.","No se puede realizar envíos para el pedido independientemente de la factura."
"Cannot do shipment for the order.","No se puede hacer el envío para el pedido."
"There are no shipping labels related to selected shipments.","No existen etiquetas de envío vinculadas a los envíos seleccionados."
"Page not found.","Página no encontrada."
"Tracking Information","Información de seguimiento"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The shipping module is not available.","El módulo de envío no está disponible."
"This shipping method is not available. Please specify the zip code.","This shipping method is not available. Please specify the zip code."
"No packages for request","No hay paquetes que solicitar"
"Security validation of XML document has been failed.","Security validation of XML document has been failed."
"All Allowed Countries","Todos los países permitidos"
"Specific Countries","Especifique países."
"Development","Nueva situación"
"Live","Vivo"
"Divide to equal weight (one request)","Dividir al mismo peso (una petición)"
"Use origin weight (few requests)","Utilizar peso original (pocas peticiones)"
"Packages","Paquetes"
"Package","Paquete"
"Type","Type"
"Length","Longitud"
"Signature Confirmation","Confirmación de entrega"
"Customs Value","Valor en aduana"
"Width","Ancho"
"Contents","Contenidos"
"Total Weight","Peso total"
"Height","Altura"
"Size","Tamaño"
"Girth","Circunferencia"
"Items in the Package","Artículos en el paquete"
"Product","Producto"
"Weight","Peso"
"Qty Ordered","Cantidad pedida"
"Qty","Cantidad"
"No detail for number ""%1""","No detail for number ""%1"""
"Shipping labels is not available.","Shipping labels is not available."
"Response info is not exist.","Response info is not exist."
"Invalid carrier: %1","Invalid carrier: %1"
"We don't have enough information to create shipping labels. Please make sure your store information and settings are complete.","We don't have enough information to create shipping labels. Please make sure your store information and settings are complete."
"Per Order","Por pedido"
"Per Package","Por paquete"
"Fixed","Fijo"
"Percent","Porcentaje"
"Tracking information is unavailable.","Tracking information is unavailable."
"message","message"
"Email has not been sent","Email has not been sent"
"Payment &amp; Shipping Method","Pago y método de envío"
"Payment Information","Información de pago"
"The order was placed using %1.","The order was placed using %1."
"Shipping Information","Información de envío"
"Total Shipping Charges","Gastos de envío"
"Incl. Tax","Impuestos incl."
"Items to Ship","Artículos para enviar"
"Qty to Ship","Cantidad a enviar"
"Ship","Enviar"
"Shipment Total","Shipment Total"
"Shipment Comments","Comentarios del envío"
"Comment Text","Texto del comentario"
"Shipment Options","Shipment Options"
"Create Shipping Label","Crear etiqueta de envío"
"Append Comments","Anexar comentarios"
"Email Copy of Shipment","Enviar una copia del envío por correo electrónico"
"Invalid value(s) for Qty to Ship","Valor(es) invalidos de Cantidad para Envio"
"Select All","Seleccionar Todo"
"Product Name","Nombre del producto"
"Delete","Borrar"
"Create Packages","Crear paquetes"
"Cancel","Cancelar"
"Save","Guardar"
"Add Package","Añadir paquete"
"Add Selected Product(s) to Package","Añadir artículo(s) seleccionado(s) al paquete"
"Add Products to Package","Add Products to Package"
"USPS domestic shipments don't use package types.","USPS domestic shipments don't use package types."
"in","en"
"cm","cm"
"lb","lb"
"kg","kg"
"Delete Package","Eliminar paquete"
"Explanation","Explicación"
"Carrier","Transportista"
"Title","Título"
"Number","Número"
"Action","Acción"
"Are you sure?","¿Seguro que quiere continuar?"
"Shipping &amp; Handling Information","Información sobre manejos y envío"
"Track Order","Seguimiento de pedidos"
"No shipping information available","No hay información disponible sobre el envío"
"Shipping and Tracking Information","Información de envío y seguimiento"
"Track this shipment","Realizar un seguimiento de este envío"
"Items Shipped","Artículos enviados"
"Order Total","Total del Pedido"
"Shipment History","Historial de envío"
"Qty Shipped","Cantidad enviada"
"Print All Shipments","Imprimir todos los envíos"
"Shipment #","Envío nº "
"Print Shipment","Imprimir envío"
"Tracking Number(s):","Número(s) de seguimiento(s)"
"SKU","SKU"
"Order tracking","Order tracking"
"Tracking Number:","Número de seguimiento:"
"Carrier:","Transportista:"
"Error:","Error:"
"Tracking information is currently not available. Please ","La información de seguimiento actualmente no está disponible. Por favor "
"contact us","póngase en contacto con nosotros"
" for more information or "," para más información o "
"email us at ","envíenos un email a "
"Info:","Información:"
"Track:","Seguimiento:"
"Status:","Estado:"
"Delivered on:","Entregado el:"
"Signed by:","Firmado por:"
"Delivered to:","Entregado a:"
"Shipped or billed on:","Enviado o facturado el:"
"Service Type:","Tipo de servicio:"
"Weight:","Peso:"
"N/A","N/A"
"Track history","Track history"
"Location","Ubicación"
"Date","Fecha"
"Local Time","Hora local"
"Description","Descripción"
"There is no tracking available for this shipment.","No se dispone de seguimiento para este envío."
"There is no tracking available.","No se dispone de seguimiento."
"Close Window","Cerrar ventana"
"Shipping Settings","Ajustes de envío"
"Origin","Origen"
"Country","País"
"Region/State","Región/Provincia"
"ZIP/Postal Code","Código Postal"
"City","Ciudad"
"Street Address","Dirección postal (Calle, Nº de Casa, Código Postal)"
"Street Address Line 2","Dirección postal, segunda línea"
"Shipping Policy Parameters","Shipping Policy Parameters"
"Apply custom Shipping Policy","Apply custom Shipping Policy"
"Shipping Policy","Shipping Policy"
"Shipping Methods","Métodos de envío"
