"Save & Generate","Guardar y generar"
"Edit Sitemap","Editar mapa del sitio web"
"New Sitemap","Nuevo mapa del sitio web"
"Sitemap Information","Información del mapa del sitio"
"Sitemap","Mapa de sitio"
"Filename","Nombre del archivo"
"example: sitemap.xml","ejemplo: sitemap.xml"
"Path","Camino"
"example: ""/sitemap/"" or ""/"" for base path (path must be writeable)","example: ""/sitemap/"" or ""/"" for base path (path must be writeable)"
"Store View","Vista de la tienda"
"Generate","Generar"
"XML Sitemap","XML Sitemap"
"Add Sitemap","Añadir mapa del sito web"
"Catalog","Catálogo"
"You deleted the sitemap.","You deleted the sitemap."
"We can't find a sitemap to delete.","We can't find a sitemap to delete."
"This sitemap no longer exists.","Este mapa del sitio web ya no existe."
"Site Map","Mapa de sitio"
"New Site Map","New Site Map"
"The sitemap ""%1"" has been generated.","The sitemap ""%1"" has been generated."
"We can't generate the sitemap right now.","We can't generate the sitemap right now."
"We can't find a sitemap to generate.","We can't find a sitemap to generate."
"You saved the sitemap.","You saved the sitemap."
"The priority must be between 0 and 1.","La prioridad debe de estar entre 0 y 1"
"Always","Siempre"
"Hourly","Cada hora"
"Daily","Diario"
"Weekly","Semanalmente"
"Monthly","Mensualmente"
"Yearly","Anualmente"
"Never","Nunca"
"File handler unreachable","File handler unreachable"
"Please define a correct path.","Please define a correct path."
"Please create the specified folder ""%1"" before saving the sitemap.","Please create the specified folder ""%1"" before saving the sitemap."
"Please make sure that ""%1"" is writable by the web-server.","Please make sure that ""%1"" is writable by the web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in the filename. No spaces or other characters are allowed."
"None","Ninguno"
"Base Only","Base Only"
"All","Todo"
"Sitemap Generation Warnings","Sitemap Generation Warnings"
"Categories Options","Opciones de categorias"
"Frequency","Frecuencia"
"Priority","Prioridad"
"Valid values range from 0.0 to 1.0.","Valid values range from 0.0 to 1.0."
"Products Options","Opciones de artículos"
"Add Images into Sitemap","Add Images into Sitemap"
"CMS Pages Options","Opciones de páginas de CMS (sistema de gestión de contenidos)"
"Generation Settings","Ajuste generacinal"
"Enabled","Habilitado"
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Start Time","Tiempo de inicio"
"Sitemap File Limits","Sitemap File Limits"
"Maximum No of URLs Per File","Maximum No of URLs Per File"
"Maximum File Size","Maximum File Size"
"File size in bytes.","File size in bytes."
"Search Engine Submission Settings","Search Engine Submission Settings"
"Enable Submission to Robots.txt","Enable Submission to Robots.txt"
"ID","ID"
"Link for Google","Enlace para Google"
"Last Generated","Last Generated"
"Action","Acción"
