"Code","Código"
"Country","País"
"State","Estado federado"
"Zip/Post Code","CP/Código postal"
"Rate","Tasa"
"Zip/Post is Range","Sólo para ciertos códigos postales"
"Range From","Intervalo desde"
"Range To","Intervalo hasta"
"Tax Zones and Rates","Tax Zones and Rates"
"Import and Export Tax Rates","Importación y exportación de impuestos"
"The tax rate has been imported.","Esta tarifa tributaria ha sido importada."
"Invalid file upload attempt","Intento de subida de un archivo no válido"
"Invalid file upload attempt.","Invalid file upload attempt."
"Invalid file format.","Invalid file format."
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","Importar tasas de impuestos"
"Export Tax Rates","Exportar tasas de impuestos"
"CSV","CSV"
"Excel XML","Excel XML"
