"Themes","Temas"
"Save and Continue Edit","Save and Continue Edit"
"Are you sure you want to delete this theme?","Are you sure you want to delete this theme?"
"Theme: %1","Theme: %1"
"New Theme","New Theme"
"Theme CSS","Theme CSS"
"Theme CSS Assets","Theme CSS Assets"
"Custom CSS","Custom CSS"
"Select CSS File to Upload","Select CSS File to Upload"
"Upload CSS File","Upload CSS File"
"Download CSS File","Download CSS File"
"Manage","Gestionar"
"Upload Images","Upload Images"
"Images Assets","Images Assets"
"Upload Fonts","Upload Fonts"
"Fonts Assets","Fonts Assets"
"Edit custom.css","Edit custom.css"
"Allowed file types *.css.","Allowed file types *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","This file will replace the current custom.css file and can't be more than 2 MB."
"Max file size to upload %1M","Max file size to upload %1M"
"Something is wrong with the file upload settings.","Something is wrong with the file upload settings."
"CSS Editor","CSS Editor"
"Theme Settings","Theme Settings"
"Parent Theme","Parent Theme"
"Theme Path","Theme Path"
"Theme Title","Theme Title"
"Theme Preview Image","Theme Preview Image"
"General","General"
"Copy of %1","Copy of %1"
"Max image size %1M","Max image size %1M"
"Theme JavaScript","Theme JavaScript"
"Select JS Files to Upload","Select JS Files to Upload"
"Upload JS Files","Upload JS Files"
"JS Editor","JS Editor"
"Allowed file types *.js.","Allowed file types *.js."
"Theme","Theme"
"Media Storage","Almacenamiento de medios"
"Create Folder","Create Folder"
"Delete Folder","Eliminar carpeta"
"Delete File","Eliminar archivo"
"Insert File","Insertar archivo"
"New Folder Name:","Nuevo nombre de carpeta:"
"Are you sure you want to delete this folder?","Are you sure you want to delete this folder?"
"Are you sure you want to delete this file?","Are you sure you want to delete this file?"
"Storage Root","Raíz de almacenamiento"
"You deleted the theme.","You deleted the theme."
"We cannot delete the theme.","We cannot delete the theme."
"File not found: ""%1"".","File not found: ""%1""."
"We can't find file.","We can't find file."
"We cannot find theme ""%1"".","We cannot find theme ""%1""."
"We cannot find the theme.","We cannot find the theme."
"This theme is not editable.","This theme is not editable."
"You saved the theme.","You saved the theme."
"We can't upload the CSS file right now.","We can't upload the CSS file right now."
"We cannot find a theme with id ""%1"".","We cannot find a theme with id ""%1""."
"We can't upload the JS file right now.","We can't upload the JS file right now."
"Sorry, something went wrong. That's all we know.","Sorry, something went wrong. That's all we know."
"Invalid type","Invalid type"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"Invalid regular expression: ""%1"".","Invalid regular expression: ""%1""."
"label","etiqueta"
"-- Please Select --","--Seleccione--"
"The start date can't follow the end date.","The start date can't follow the end date."
"The date range for this design change overlaps another design change for the specified store.","The date range for this design change overlaps another design change for the specified store."
"Copy","Copy"
"Theme id should be set","Theme id should be set"
"Circular-reference in theme inheritance detected for ""%1""","Circular-reference in theme inheritance detected for ""%1"""
"The CSS file must be less than %1M.","The CSS file must be less than %1M."
"The JS file must be less than %1M.","The JS file must be less than %1M."
"We can't upload the file right now.","We can't upload the file right now."
"Use only standard alphanumeric, dashes and underscores.","Use only standard alphanumeric, dashes and underscores."
"We found a directory with the same name.","We found a directory with the same name."
"We cannot find a directory with this name.","We cannot find a directory with this name."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Theme isn't deletable.","Theme isn't deletable."
"localized exception","localized exception"
"Message","Message"
"Test Label","Test Label"
"Phrase","Phrase"
"testMessage","testMessage"
"exception","excepción"
"We found no files.","We found no files."
"Browse Files","Browse Files"
"Remove","Eliminar"
"Help Us Keep Magento Healthy","Help Us Keep Magento Healthy"
"Report All Bugs","Informar de todos los errores"
"Toggle Nav","Toggle Nav"
"JavaScript seems to be disabled in your browser.","Parece que JavaScript está deshabilitado en su navegador."
"For the best experience on our site, be sure to turn on Javascript in your browser.","For the best experience on our site, be sure to turn on Javascript in your browser."
"Local Storage seems to be disabled in your browser.","Local Storage seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","For the best experience on our site, be sure to turn on Local Storage in your browser."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 artículo"
"%1 Item(s)","%1 Item(s)"
"Page","Página"
"Previous","Anterior"
"You're currently reading page","You're currently reading page"
"Next","Siguiente"
"Show","Mostrar"
"per page","por página"
"About the calendar","Acerca del calendario"
"Close","Cerrar"
"Go Today","Hoy"
"WK","WK"
"Time","Tiempo"
"Hour","Hora"
"Minute","Minuto"
"We could not detect a size.","No hemos podido detectar un tamaño."
"We don't recognize this file extension.","We don't recognize this file extension."
"Empty","Vacío"
"1 column","1 columna"
"HTML Head","Encabezado HTML"
"Favicon Icon","Icono de favoritos"
