"Edit URL Rewrite for a Category","Edit URL Rewrite for a Category"
"Add URL Rewrite for a Category","Añadir la reescritura de URL para una categoría"
"Category:","Categoría:"
"We can't set up a URL rewrite because the product you chose is not associated with a website.","We can't set up a URL rewrite because the product you chose is not associated with a website."
"Please assign a website to the selected category.","Please assign a website to the selected category."
"Edit URL Rewrite for a Product","Edit URL Rewrite for a Product"
"Add URL Rewrite for a Product","Añadir reescritura URL para un producto"
"Product:","Producto:"
"Skip Category Selection","Saltar selección de categoría"
"ID","ID"
"Name","Nombre 	"
"SKU","SKU"
"Status","Estatus"
"Edit URL Rewrite for CMS page","Edit URL Rewrite for CMS page"
"Add URL Rewrite for CMS page","Add URL Rewrite for CMS page"
"CMS page:","CMS page:"
"Please assign a website to the selected CMS page.","Please assign a website to the selected CMS page."
"Title","Título"
"URL Key","Clave URL"
"Store View","Vista de la tienda"
"Edit URL Rewrite","Editar Reescritura URL"
"Add New URL Rewrite","Añadir nueva reescritura URL"
"Reset","Restablecer"
"Back","Volver"
"Delete","Borrar"
"Are you sure you want to do this?","¿Está seguro que desea hacer esto?"
"Save","Guardar"
"Block Information","Bloque información"
"URL Rewrite Information","Información de reescritura URL"
"Request Path","Solicitar ruta"
"Target Path","Ruta de destino"
"Redirect Type","Redirect Type"
"Description","Descripción"
"Store","Tienda"
"URL Rewrite Management","Gestión de reescritura de URL"
"Add URL Rewrite","Añadir Reescritura URL"
"Custom","Personalizado"
"For category","Para la categoría"
"For product","Para el producto"
"For CMS page","For CMS page"
"Create URL Rewrite:","Crear reescritura URL:"
"You deleted the URL rewrite.","You deleted the URL rewrite."
"We can't delete URL Rewrite right now.","We can't delete URL Rewrite right now."
"URL Rewrites","URL Rewrites"
"The product you chose is not associated with the selected store or category.","The product you chose is not associated with the selected store or category."
"The category you chose is not associated with the selected store.","The category you chose is not associated with the selected store."
"The URL Rewrite has been saved.","La reescritura de URL se ha guardado."
"Something went wrong while saving URL Rewrite.","Something went wrong while saving URL Rewrite."
"Do not use two or more consecutive slashes in the request path.","Do not use two or more consecutive slashes in the request path."
"Anchor symbol (#) is not supported in request path.","Anchor symbol (#) is not supported in request path."
"Do not use two or more consecutive slashes in the url rewrite suffix.","Do not use two or more consecutive slashes in the url rewrite suffix."
"Anchor symbol (#) is not supported in url rewrite suffix.","Anchor symbol (#) is not supported in url rewrite suffix."
"No","No 	"
"Temporary (302)","(302) Temporal"
"Permanent (301)","(301) Permanente"
"Request Path for Specified Store","Solicitud de ruta para la tienda especificada"
"URL key for specified store already exists.","URL key for specified store already exists."
"Custom storage message","Custom storage message"
"Select Category","Seleccione categoría"
"Action","Acción"
"Edit","Editar"
