"No token found.","No token found."
"Wrong request.","Wrong request."
"Deletion failure. Please try again.","Deletion failure. Please try again."
"Credit Card was successfully removed","Credit Card was successfully removed"
"My Credit Cards","My Credit Cards"
"Select vault provider","Seleccione proveedor vault"
"vault_payment1","vault_pago1"
"vault_payment2","vault_pago2"
"Card Number","Card Number"
"Expiration Date","Expiration Date"
"Type","Type"
"You have no credit cards.","You have no credit cards."
"Actions","Actions"
"Delete","Delete"
"Cancel","Cancel"
"Vault Provider","Proveedor vault"
"Specified provider should be enabled.","El proveedor especificado debe estar habilitado."
