"Wish List","Favoritos"
"Wish List Sharing","Compartir favoritos"
"My Wish List","Mi lista de deseos"
"%1's Wish List","Lista de deseos de %1"
"Page not found.","Página no encontrada."
"We can't specify a product.","No se puede especificar un artículo."
"We can't add the item to Wish List right now: %1.","No se puede añadir el elemento a lista de deseos ahora mismo: %1."
"We can't add the item to Wish List right now.","No se puede añadir el elemento a lista de deseos ahora mismo."
"You added %1 to your shopping cart.","Añadiste %1 a tu cesta."
"This product(s) is out of stock.","This product(s) is out of stock."
"We can't add the item to the cart right now.","No se puede añadir el artículo al carrito de compras ahora mismo."
"We can't load the Wish List item right now.","No se puede cargar la lista de deseos ahora mismo."
"We can't configure the product right now.","No se puede configurar el artículo ahora mismo."
"The requested cart item doesn't exist.","The requested cart item doesn't exist."
"%1 has been moved to your wish list.","%1 has been moved to your wish list."
"We can't move the item to the wish list.","We can't move the item to the wish list."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Wish List right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Wish List right now."
"Message length must not exceed %1 symbols","Message length must not exceed %1 symbols"
"Please enter an email address.","Please enter an email address."
"This wish list can be shared %1 more times.","This wish list can be shared %1 more times."
"Please enter a valid email address.","Por favor, ingrese una dirección de correo electrónico válida."
"Your wish list has been shared.","Your wish list has been shared."
"We can't delete item from Wish List right now.","We can't delete item from Wish List right now."
"Can't save description %1","Can't save description %1"
"Can't update wish list","Can't update wish list"
"%1 has been updated in your Wish List.","%1 has been updated in your Wish List."
"We can't update your Wish List right now.","We can't update your Wish List right now."
"The requested Wish List doesn't exist.","The requested Wish List doesn't exist."
"We can't create the Wish List right now.","We can't create the Wish List right now."
"%1 items","%1 artítulos"
"1 item","1 artículo"
"Comment","Comentario"
"Display number of items in wish list","Display number of items in wish list"
"Display item quantities","Mostrar las cantidades de artículo"
"An item option with code %1 already exists.","An item option with code %1 already exists."
"We can't specify a wish list.","We can't specify a wish list."
"Cannot specify product.","No se pudo especificar artículo."
"Product is not salable.","Product is not salable."
"Invalid item option format.","Formato de opción de artículo no válido."
"%1 for ""%2"".","%1 for ""%2""."
"We can't add this item to your shopping cart right now.","No podemos añadir este artículo a su carrito de compras ahora mismo."
"We couldn't add the following product(s) to the shopping cart: %1.","We couldn't add the following product(s) to the shopping cart: %1."
"We can't update the Wish List right now.","We can't update the Wish List right now."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Comment:","Comentarios:"
"We cannot retrieve the Wish List.","We cannot retrieve the Wish List."
"%1's Wishlist","%1's Wishlist"
"We can't specify a wish list item.","We can't specify a wish list item."
"The product does not exist.","El producto no existe."
"Test Phrase","Test Phrase"
"message","message"
"Message","Mensaje"
"error-message","error-message"
"LocalizedException","LocalizedException"
"Product Exception.","Product Exception."
"Localized Exception.","Localized Exception."
"Are you sure you want to remove this item?","¿Está seguro que desea eliminar este artículo?"
"Share Wish List","Compartir favoritos"
"Add All to Cart","Añadir todo al carrito"
"Update Wish List","Actualizar favoritos"
"Move to Wishlist","A la lista de deseos"
"View Product","Vista del artículo"
"Qty","Cantidad"
"Add to Cart","Añadir al carrito"
"Availability","Disponibilidad"
"In stock","Disponible"
"Out of stock","No está disponible"
"Edit","Editar"
"Remove Item","Eliminar elemento"
"Remove item","Quitar artículo"
"Add to Compare","Añadir para comparar"
"This Wish List has no Items","Los favoritos no tienen artículos"
"See Details","Ver información"
"Options Details","Detalles de las opciones"
"RSS link to %1's wishlist","RSS link to %1's wishlist"
"RSS Feed","Fuente RSS"
"Product","Producto"
"Add to Wish List","Agregar a los favoritos"
"Back","Volver"
"Wish List is empty now.","Su favoritos están vacíos."
"* Required Fields","* Campos obligatorios"
"Sharing Information","Compartiendo información"
"Email addresses, separated by commas","Direcciones de correo electrónico, separadas por comas"
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Wish List."
"Last Added Items","Últimos elementos añadidos"
"Remove This Item","Eliminar este artículo"
"Go to Wish List","Ir a lista de deseos"
"You have no items in your wish list.","No tiene ningún elemento en su lista de deseos."
"Are you sure you want to remove this product from your Wish List?","Are you sure you want to remove this product from your Wish List?"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name wants to share this Wish List from %store_name with you:"
"Message from %customer_name:","Message from %customer_name:"
"View all Wish List items","View all Wish List items"
"Share Options","Opciones para compartir"
"Email Sender","Remitente de correo electrónico"
"Email Template","Plantilla de email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegido basado en suplencia de tema cuando está seleccionada la opción ""Predeterminado""."
"Max Emails Allowed to be Sent","Max Emails Allowed to be Sent"
"Email Text Length Limit","Email Text Length Limit"
"General Options","Opciones generales"
"Enabled","Habilitado"
"My Wish List Link","Enlace de mi lista de deseos"
"Display Wish List Summary","Mostrar Resumen de lista de deseos"
"Enable RSS","Activar RSS"
"No Items Found","No se encontraron artículos"
"Product Name","Nombre del producto"
"User Description","Descripción del usuario"
"Quantity","Cantidad"
"Add Locale","Agregar configuración regional"
"Add Date","Añadir fecha"
"Days in Wish List","Días en favoritos"
"Action","Acción"
"Configure","Configurar"
"Delete","Borrar"
"Product Details and Comment","Detalles del artículo y comentarios"
